ATG7_T1	ATG7_T2	ATG7_T3	pMXS_T1	pMXS_T2	pMXS_T3
Gm6161	1113	1079	817	880	933	1113
3110035E14Rik	1197	1196	787	1360	1317	1296
Gm29520	0	0	0	0	0	0
Mybl1	0	0	2	0	0	0
Vcpip1	9	6	11	12	1	6
1700034P13Rik	1882	2501	1969	1560	1053	1902
Sgk3	6416	6175	4193	6425	6991	6098
Gm6195	2	0	1	0	1	0
Gm22607	6	7	5	7	9	11
Mcmdc2	164	311	278	356	332	688
Snhg6	91	65	53	37	48	84
Snord87	28	38	6	34	32	26
Tcf24	552	577	483	1057	630	801
E330040D14Rik	0	0	0	0	0	0
Ppp1r42	0	0	0	2	0	0
Gm15818	1896	1864	1271	1476	1612	1902
Gm24674	1402	1353	941	1271	1228	1291
Cops5	0	0	0	0	0	3
Cspp1	1	2	0	14	0	0
1700047N06Rik	12	2	4	1	1	1
Arfgef1	44	59	47	90	115	155
Gm26348	1879	2115	1294	2047	2272	1995
Gm37569	7	2	7	18	10	5
Cpa6	4885	4632	3050	5030	5327	4267
Gm38005	1481	1519	920	1413	1353	1423
Gm15604	1201	1146	722	1238	1161	1031
Gm25253	553	612	433	2521	1216	1175
Gm15603	1973	2064	1309	1828	1833	1668
Gm37133	1	0	1	0	0	0
Gm5522	703	795	511	752	785	790
Gm28659	66	103	94	44	32	101
Gm22963	8355	8685	6048	6806	7267	8193
Prex2	23	37	52	12	17	63
Gm24173	2	8	10	2	8	6
Gm28686	13	15	5	14	20	33
Gm37410	1768	1721	1114	1136	1498	1691
A830018L16Rik	5	6	9	0	1	14
Gm38178	326	406	297	367	369	296
Gm29273	3	7	10	4	13	25
Gm38069	1102	949	593	1152	1195	979
Gm7560	3580	3504	2198	3301	3228	3398
Gm22633	1400	1419	1017	1526	1437	1435
Mir6341	2482	2588	1923	1507	1703	2241
Gm2383	6	5	0	14	10	23
Gm6216	19	34	12	31	28	27
Gm17644	1073	1060	610	1023	1139	955
Gm29663	45	33	37	125	67	85
Sulf1	103	111	81	113	118	74
Slco5a1	0	0	0	0	0	1
Gm37162	29	12	16	70	29	45
Gm5250	730	849	546	871	890	847
Gm29283	0	0	0	0	0	0
Prdm14	3260	3170	2023	2904	3173	3078
Ncoa2	382	360	291	402	354	289
Gm38376	222	278	187	231	233	277
Gm37409	205	208	140	192	156	144
Gm27881	7	3	1	7	7	2
Gm38223	0	0	0	9	7	3
Gm37702	1680	1794	1260	3501	2553	2682
Gm23169	776	761	412	866	865	834
Gm38120	882	767	542	850	863	902
Gm38380	789	976	532	832	837	905
Gm29570	12	11	38	43	9	46
Gm7593	0	1	0	0	0	0
Tram1	32	42	27	41	23	28
Lactb2	1854	2057	1433	2008	2024	1579
Gm38319	1741	1739	1148	1733	1550	1663
Xkr9	1084	1058	720	1050	1102	1020
Gm26273	627	670	580	438	263	350
Gm5523	61	35	44	30	30	38
Gm36947	3	3	1	0	1	2
Gm25491	29513	29778	23869	27595	29850	32157
Gm37400	0	0	0	0	0	1
Eya1	66	91	47	202	199	174
Gm22616	498	488	365	567	543	533
Gm37444	1812	1755	1094	1703	1592	2024
Gm9947	37	37	22	42	31	24
Msc	2898	2906	1956	2835	2950	2746
Gm37412	245	258	220	284	290	310
Smt3h2-ps4	471	400	294	499	479	418
Rpl5-ps1	1438	1437	1228	1336	1544	1465
Trpa1	546	486	390	624	660	609
Gm26345	869	789	634	840	806	906
Gm10566	0	0	0	0	0	0
Kcnb2	494	532	294	603	545	475
Gm38116	2694	2590	2028	2613	2821	3273
Gm37138	2	3	0	6	6	9
Gm25227	4517	4504	3073	4922	5211	4566
Gm25168	1020	1024	715	1155	1047	1021
Gm6060	0	0	0	0	0	0
Gm28669	649	646	429	639	679	587
Terf1	1541	1282	880	7141	2473	2258
Gm37509	14	20	4	28	26	15
Sbspon	13537	14201	10125	14746	15705	16293
Gm23259	1647	1672	1023	1705	1853	1730
Gm7634	181	190	146	580	278	298
4930444P10Rik	584	769	528	1521	520	983
Rpl7	93	110	115	117	102	125
Rdh10	378	332	261	337	305	393
Gm38249	460	480	272	536	463	562
Gm28095	809	744	424	671	647	778
Stau2	1380	1387	906	1262	1216	1097
Gm7568	0	2	0	0	0	0
Ube2w	832	984	700	888	656	1022
Gm38342	715	681	430	584	661	627
Tceb1	759	833	629	657	650	690
D030040B21Rik	81	53	46	57	97	80
Gm7654	8	7	0	14	12	7
Tmem70	1087	1022	590	1033	1044	1002
Ly96	19067	19507	13773	20136	19603	19957
Gm29649	1296	1262	934	1289	1500	1590
Gm5828	0	0	3	0	1	2
Gm28376	966	1117	620	1008	1005	830
4921511E07Rik	2438	2246	1656	2227	1911	1859
Jph1	2362	2082	1418	2420	2378	1934
Gm28783	1817	2121	1703	2336	2685	2176
Gdap1	4076	4039	2837	4347	4941	4830
Gm28784	272	285	208	563	409	483
Gm28785	8	4	2	13	10	9
Gm5251	1	0	0	0	0	0
Rbm6-ps1	63	63	57	125	93	161
Gm6075	3211	3020	1980	2514	2588	2442
Gm25166	40	101	69	101	68	157
Pi15	844	923	570	913	856	765
Gm28154	1185	1342	982	1257	1359	1318
Gm16070	3305	3296	2394	3785	4152	3913
Crispld1	3102	3333	2749	3053	3215	3403
Gm28153	561	676	518	630	607	571
Gm7690	486	504	351	343	330	416
Gm18775	967	929	659	944	1105	935
Gm17969	39	39	30	46	58	54
RP24-571A14.6	2	4	4	5	2	10
Gm28755	154	183	201	195	149	417
Gm28756	11	8	9	1	4	30
Crisp4	773	822	487	779	913	817
Defb44-ps	975	1011	811	882	985	993
Defb18	2366	2644	1992	2424	2438	2385
Defb41	1698	1881	1387	2091	2164	1831
Gm17837	2629	2814	1946	2750	2528	2137
Gm29006	3639	3651	2446	3302	3381	3254
Gm5252	6619	7313	5055	6334	6809	6754
Gm24075	1694	1497	971	1739	1756	1793
Gm28343	4701	4942	3139	5077	4901	5014
Gm28344	361	299	198	240	301	372
Gm15825	5770	5942	3866	4292	4884	4428
Tfap2d	9800	10433	6921	9747	10780	10588
Gm10075	350	366	227	331	368	319
Tfap2b	11628	12256	9326	11161	10901	10705
Gm28340	3277	3365	2452	3035	2755	2961
Gm28341	4	14	24	13	13	36
Gm4849	969	1010	634	1072	1056	955
Gm24633	5979	7031	5418	3673	5400	4813
Gm38382	7301	7443	5135	7000	6875	7038
Pkhd1	1432	1550	1226	1982	1380	1633
Gm37315	663	652	461	568	641	726
4930486I03Rik	49	87	44	163	141	146
Gm15795	0	0	0	0	0	0
Gm24162	1	0	0	0	0	0
Mir206	738	710	409	669	739	638
Gm28653	7	6	4	41	14	18
Mir133b	10238	6942	7322	38317	15246	15309
Il17a	8340	8104	5925	8502	9361	10760
Il17f	1	5	0	3	1	2
Mcm3	3	4	3	1	3	1
Gm20587	2888	3072	2048	2643	2186	2140
Gm28065	344	379	258	330	328	349
Gm24723	25	25	16	30	27	34
6720483E21Rik	416	443	329	426	382	437
Paqr8	406	376	240	390	364	335
Gm24171	14109	14562	10595	14625	13637	13267
Gm28064	3192	2716	1873	2175	2299	2349
Efhc1	5293	4861	2844	5894	5791	5362
Tram2	281	223	187	684	306	401
Gm28287	3	0	0	0	6	0
Gm2693	1	2	0	0	0	0
Tmem14a	1184	1226	961	1234	1266	1283
Gm38224	3313	3333	2077	3111	3023	2747
Gsta3	10	11	9	30	28	22
Gm28836	50	43	42	55	26	123
Gm7094	28	38	18	17	14	21
Gm4956	273	277	291	279	337	494
Gm21909	1268	1664	1320	1335	1514	1616
Khdc1a	988	988	718	765	770	968
Gm16329	1160	1285	787	1220	1119	1091
Gm16327	1210	1082	845	1070	1125	1138
Khdc1c	0	0	0	0	0	0
Gm2709	0	0	0	9	0	0
Gm16533	13	8	13	33	21	15
Khdc1b	96	84	42	143	105	99
Gm16328	1020	962	697	740	952	991
Kcnq5	560	590	451	643	675	578
Gm36949	378	413	258	358	395	410
Gm7658	0	0	0	5	1	0
Gm38243	3	5	2	2	8	4
Gm26580	636	674	500	659	647	682
Gm5696	1226	1270	914	1408	1378	1481
Gm28239	123	111	73	276	184	225
Rims1	416	499	403	426	384	515
Gm26866	5959	6214	4537	6823	6516	6615
Gm7761	3	2	6	15	23	25
Gm29506	45	90	41	161	101	169
4933415F23Rik	2449	2389	1448	2701	2524	2832
Gm24176	412	381	260	483	505	556
Gm6420	707	709	499	709	709	655
Mir30a	53	30	28	189	128	86
Gm27028	5	15	7	5	5	32
Mir30c-2	763	721	674	815	764	808
Gm29107	771	708	478	938	801	852
Gm20954	0	0	0	3	0	0
Ogfrl1	1822	1849	1533	1610	1401	1883
Gm7784	2314	2545	1770	2343	2415	2495
Gm28822	833	918	685	751	778	774
B3gat2	306	344	257	350	353	341
Smap1	6924	7188	5189	7895	8137	7523
Sdhaf4	8	21	2	71	33	26
Gm26524	0	3	0	0	0	0
Fam135a	0	0	0	0	0	0
Gm37580	0	0	0	0	0	0
Gm26607	0	0	0	0	0	0
Col9a1	1	2	2	0	2	5
Col19a1	492	542	347	496	563	464
Gm26418	4388	4486	3651	4218	4223	4445
Tubb4b-ps2	316	318	257	462	518	377
Gm28439	5738	6227	4663	6642	6342	6756
Gm10222	1265	1327	823	1095	1226	1145
Gm28438	29	26	32	45	41	42
Gm28437	29	28	29	49	21	54
Gm10925	1147	1325	1212	302	486	770
Gm28661	1858	1994	1502	2112	2073	2175
Gm29216	0	1	0	0	1	0
Lmbrd1	2186	2249	1362	1969	2130	1890
Gm28594	3405	3314	2488	3708	3534	3168
Gm28237	2265	2184	1793	2587	2677	2367
Gm9443	1555	1746	1177	1520	1488	1462
Gm29414	5842	5717	4049	5740	5881	5836
Adgrb3	108	66	60	166	101	165
Gm15702	941	1018	724	1031	1023	1065
Gm20172	58	56	26	137	128	143
Gm22260	154	135	107	287	217	228
Gm37543	11	6	7	16	20	6
Gm37331	627	702	472	609	660	640
Gm37211	762	885	547	900	723	760
Gm37862	238	237	161	283	261	225
Gm38286	0	0	1	2	0	0
Gm37880	45	40	13	65	63	77
Gm25294	7	4	1	0	2	3
Gm37011	114	89	77	169	142	127
Gm29214	837	898	494	657	853	696
Gm37051	622	627	446	641	711	642
Gm38260	13	12	10	57	22	21
Gm37628	9	1	6	3	6	1
8030445P17Rik	1463	1557	1059	1548	1585	1541
Gm38198	0	0	0	3	0	3
Gm37077	1056	987	639	1048	1009	1039
Gm37895	1957	1905	1476	2112	1995	1946
Gm36952	1158	1153	907	1084	1196	1245
Gm37602	414	298	187	313	472	836
2900022M07Rik	3432	3300	2202	2267	2551	3356
2900002M20Rik	576	642	411	608	689	544
Gm9884	50	40	13	44	43	42
Gm18443	14	25	26	16	20	82
Gm19123	450	428	249	316	334	357
Gm24064	5938	6049	4162	5649	6182	5822
4931408C20Rik	2356	2765	1542	1819	2129	1666
n-R5s209	22	94	17	6	2	4
Gm19641	175	150	91	141	131	195
Gm5524	273	242	169	231	220	213
Gm18776	919	966	608	829	893	994
Gm19028	196	260	173	318	277	275
Gm38089	2	7	6	1	1	3
Gm7846	137	142	62	153	213	137
Gm597	0	1	0	5	3	2
Gm5697	2577	2785	2086	2722	2825	2815
Gm6462	1064	1063	813	1305	1297	1337
Gm18033	1	9	0	2	5	10
Gm25586	477	492	315	537	461	483
Gm22679	892	998	831	789	837	1172
Gm23785	209	165	143	266	321	357
Mir6342	667	768	408	726	697	654
Gm5525	101	151	146	279	190	367
Gm7858	2873	2875	2062	2683	2698	2465
Gm23771	2423	2433	1589	2591	2348	2452
Gm27430	0	0	0	2	0	4
Gm9898	163	174	164	211	163	185
Gm6473	775	697	510	719	847	739
Gm2914	649	675	415	570	613	654
Phf3	1607	1509	1216	1700	1589	1367
Gm37522	3082	2663	1832	2293	2769	2656
Gm37906	1844	1793	1252	1692	2028	1949
Ptp4a1	274	194	150	197	241	213
Gm5698	4040	3693	2612	3957	3877	4167
Gm9458	0	0	0	0	0	0
Gm5699	97	97	51	152	150	99
Gm29669	1231	1278	888	1400	1512	1722
Gm28644	334	331	236	359	376	336
Gm27362	52	29	16	62	158	111
4931428L18Rik	2	4	0	3	32	23
Gm29128	101	98	92	126	126	86
Gm7893	381	392	281	396	373	367
Lgsn	299	296	227	343	318	314
Pih1d3	1404	1618	1351	1366	1158	1762
Gm26145	1128	1211	1014	1073	912	952
Gm4850	540	607	499	554	563	750
Gm28645	143	136	95	138	179	97
Gm6489	1680	1853	1241	1722	1778	1743
Gm10307	1473	1491	1062	1627	1543	1456
Gm19680	12	16	3	50	112	76
Gm23032	1478	1536	939	1384	1383	1611
Gm7910	507	562	424	563	541	522
Khdrbs2	628	656	518	698	715	727
Gm25814	2188	2480	1643	2222	2488	2672
Gm37999	0	0	0	0	0	0
Gm37110	1012	1040	663	983	1021	1026
Gm37911	172	144	129	154	154	165
Gm9839	558	510	295	627	554	490
Gm37792	404	366	187	367	491	330
Gm5415	1428	1377	982	1493	1467	1626
Gm24732	1180	1320	844	1237	1290	1177
Gm37426	441	478	280	495	479	483
Gm23024	71	83	51	81	70	67
Gm37151	1069	922	656	1095	1177	1077
Gm28624	706	692	418	712	790	812
Gm37724	1057	1074	692	1201	1291	1189
Gm7114	42	44	38	43	42	42
Gm4785	1183	1051	748	913	943	1001
Gm24901	441	421	285	516	523	457
Gm37591	1449	1472	866	1176	1305	1274
Gm2987	1774	1880	1322	1865	1918	1720
Gm25792	616	617	488	726	645	806
Gm18799	0	1	0	1	0	0
Gm7933	9	8	2	10	2	8
Gm23453	1925	2204	1685	1765	1954	1687
Prim2	285	296	157	280	309	313
Gm29228	37	29	46	107	68	70
Gm37618	2638	2549	1561	2634	2949	2762
Gm17813	0	0	0	0	2	3
1700001G17Rik	477	478	306	570	698	681
Gm38173	1641	1679	1200	1738	1767	1643
Rab23	2103	2193	1612	2115	2148	1990
Bag2	454	435	326	433	367	418
Gm37905	51	30	14	42	42	46
Zfp451	2	7	16	3	6	12
Gm15455	791	749	423	744	713	788
Bend6	0	0	0	0	0	0
Gm37067	1473	1514	1068	1249	1189	1908
Dst	1046	1002	836	1337	1129	1373
Gm37354	945	1053	662	1018	1163	1073
Gm28631	459	491	335	306	325	343
Gm23792	592	598	353	656	652	578
Gm38157	0	0	1	2	0	4
Mir6896	216	189	159	178	181	179
Gm26788	2479	2797	2273	2517	2653	2659
A930005N03Rik	680	589	491	680	682	646
Gm37958	81	115	38	107	112	108
Gm37385	7	9	6	0	4	7
Gm5266	126	137	100	198	152	257
Gm3052	261	309	192	269	303	301
Gm37233	5	10	8	21	3	4
Mir5103	138	171	196	373	252	428
Ccdc115	2650	2669	1987	2299	2421	2288
Gm28306	1087	1266	929	1002	967	1169
Imp4	448	422	210	329	405	424
Ptpn18	65	66	45	199	127	130
Gm28417	848	824	557	795	771	714
4930568A12Rik	2578	2751	2178	2948	2973	3092
Prss39	3962	4231	3271	3742	3616	3687
Gm28416	796	807	415	889	925	833
Cfc1	725	656	530	719	729	651
Gm28419	1479	1497	1099	1598	1699	1656
Prss40	3	5	0	2	7	4
1700101I19Rik	40	41	21	80	45	36
Amer3	2603	2437	1594	2773	2777	2552
Gm28418	165	130	67	148	230	154
Gm36984	2	2	0	0	0	5
Gm29730	79	76	72	102	131	163
AA619741	1215	982	744	929	929	1085
Arhgef4	340	302	167	369	312	336
Gm37224	172	204	113	210	271	235
Gm37845	730	653	345	623	787	608
Gm38336	4336	4374	2878	4217	4445	4353
Fam168b	424	386	189	344	366	310
Gm37127	1528	1631	1131	1668	1542	1590
Plekhb2	362	382	275	358	404	360
Gm19430	762	792	445	319	451	569
Gm37670	1571	1568	988	1487	1562	1356
Gm8009	1422	1292	1032	1322	1267	1184
Gm38027	352	301	150	457	373	336
Gm25096	534	561	399	526	523	477
Gm37068	312	295	201	344	326	322
Gm25634	91	88	59	134	60	136
Gm28415	3047	2814	2081	2994	2774	2651
1110002O04Rik	738	702	372	767	882	789
Gm8022	1872	2131	1540	1956	2039	2136
Gm37146	2431	2453	1581	2397	2059	2198
Gm33222	387	315	330	497	372	437
4930535G08Rik	871	972	682	1712	1229	1334
Gm38049	13	34	8	33	19	24
Hs6st1	171	187	97	203	173	146
Gm37335	0	0	0	0	0	0
Gm33280	246	223	135	651	486	409
Uggt1	1914	1922	1112	1833	1916	1909
Mir6897	1507	1765	1135	1505	1687	1496
Neurl3	2525	2504	1874	2703	2665	2433
Arid5a	412	461	306	493	468	459
4930403P22Rik	1280	1266	924	1362	1424	1370
Kansl3	990	964	599	1149	1120	900
Mir6898	2556	2785	1943	2889	2969	2920
Fer1l5	298	299	174	388	449	534
Lman2l	1048	1194	890	1115	1159	1112
Cnnm4	3811	3809	2677	9437	6004	9360
Gm37909	1169	1236	816	1757	2596	2685
AC084391.1	1761	1679	969	1583	1638	1640
Cnnm3	31	31	19	57	27	53
Gm38033	2530	2881	1753	2096	2029	1749
Ankrd23	5942	5557	4019	6198	5670	5224
Gm42417	1867	1832	1289	1913	2232	1820
Ankrd39	3028	3160	2460	3185	3236	3221
Sema4c	1384	1515	1067	1743	1607	1349
D430040D24Rik	2372	2265	1641	2685	2736	2434
Fam178b	6205	5894	3521	6274	5376	6123
Gm6428	0	1	0	0	0	0
Gm24133	259	274	225	300	230	253
Cox5b	1725	1677	1164	1799	1805	1677
Actr1b	4	4	4	24	8	13
4933424G06Rik	2820	2855	1906	2998	2781	2634
Gm33533	1266	1342	732	1345	1391	1185
Zap70	2195	1910	1488	1669	1572	1877
Gm18828	360	374	183	258	247	242
Tmem131	2018	2039	1583	2086	2182	2165
Gm37506	286	294	189	293	283	358
Gm38115	716	682	463	814	853	791
F830112A20Rik	19	21	17	33	19	38
Rpl12-ps1	1087	1123	834	1012	1081	1185
n-R5s210	5153	5283	3706	5667	5585	5219
Vwa3b	2043	1837	1063	2014	2023	1824
Gm37020	843	834	588	876	958	861
Cnga3	256	233	171	247	262	238
1700074A21Rik	156	199	96	134	191	189
Inpp4a	904	827	617	803	787	744
4930439A04Rik	1319	1223	765	1287	1203	1240
Gm37135	11	14	3	28	20	25
Coa5	176	194	127	232	198	138
Unc50	4370	4255	3669	2536	2776	4196
Mgat4a	0	0	0	0	0	0
4930594C11Rik	584	590	415	711	568	535
Gm43213	706	752	558	827	775	770
2010300C02Rik	786	852	603	832	888	820
4930556I23Rik	1831	1840	1463	1763	1790	1740
4930470B04Rik	1340	1313	929	1290	1276	1325
Gm19863	117	97	120	89	116	109
Tsga10	4	3	0	4	2	0
Gm26805	518	523	362	676	923	1032
Lipt1	43	37	30	8	15	20
Mitd1	135	145	99	259	273	351
Mrpl30	683	567	416	670	647	618
Lyg2	1682	1715	1385	1679	1661	1708
Gm15457	0	1	1	1	0	0
Lyg1	6222	5672	3639	5003	4982	5098
Gm23409	6	7	0	0	0	4
Txndc9	683	650	373	625	671	531
Eif5b	2180	2283	1497	2543	2571	2174
Rev1	420	372	283	518	516	463
Gm37062	612	573	496	602	585	568
Gm5099	876	821	578	619	750	723
Aff3	0	6	3	1	3	6
Gm16150	400	466	313	356	435	407
Gm16151	2187	2340	1642	2151	2234	2040
Gm16152	747	665	462	960	730	927
Gm34727	613	599	422	439	526	504
Gm38135	1	4	0	7	0	3
2610300A13Rik	347	306	157	336	364	285
Lonrf2	1448	1504	1024	1211	1454	1644
Chst10	2743	2651	1816	2450	2641	2571
Gm37707	0	0	0	0	1	0
Gm6621	4	5	5	12	4	9
Nms	4	3	5	30	8	23
Pdcl3	255	223	149	477	357	365
Gm37309	649	651	508	773	767	690
Gm37821	284	289	238	305	287	276
Gm37091	4372	4629	3056	4921	4696	4603
Mir6349	3225	3300	2059	3071	3128	3035
Npas2	0	0	0	4	0	1
Gm20428	1250	1466	847	1369	1540	1331
Gm3617	602	659	496	667	638	562
Rpl31	116	115	90	119	121	157
Tbc1d8	1171	1072	974	716	748	906
Gm37265	2981	3245	2013	3203	3493	3571
Gm24826	928	954	621	991	929	1001
Gm24826.1	0	0	0	2	0	0
Cnot11	2	3	0	2	1	0
Gm15832	2	0	1	3	4	2
Snord89	59	74	72	52	66	171
Rnf149	2068	2289	1690	1831	1771	1886
Gm23722	0	0	0	0	0	0
Gm5100	1233	1162	893	1215	1135	1355
Creg2	250	268	211	264	272	237
D930019O06Rik	430	413	330	463	411	394
Rfx8	2150	2272	1446	1807	2226	2014
Gm3646	211	235	172	263	284	255
1700066B17Rik	2154	1902	1166	1944	1815	1956
Map4k4	727	588	528	766	582	792
4930456G14Rik	669	29	35	615	19	94
Il1r2	1722	1734	1122	1864	2022	1863
Gm16894	311	275	184	337	336	298
Gm37347	0	1	0	0	0	0
Il1r1	458	523	322	410	477	367
Gm38070	812	826	591	837	842	893
Il1rl2	617	572	384	693	751	701
Gm17970	461	499	288	459	488	491
Il1rl1	509	504	344	415	580	568
Il18r1	325	277	165	322	307	266
Il18rap	2529	1757	1375	2212	3768	5048
Gm35801	968	926	626	774	859	726
Slc9a4	2312	2251	1555	2572	2447	2514
Gm37435	0	0	1	0	0	2
Slc9a2	4928	5025	3347	3868	4481	4304
Gm37623	1024	1211	771	1027	1102	1056
Gm37915	8	4	14	23	1	3
Mfsd9	542	629	379	623	607	537
Tmem182	1419	1378	700	1481	1369	1439
Gm5973	1914	2032	1445	1767	1866	1970
4930448I06Rik	1746	1684	1134	1695	1693	1813
Gm28634	332	208	187	270	287	290
Gm29260	385	398	307	443	468	559
Gm5267	3185	3331	2088	2953	2824	2666
Gm8176	2900	3279	2312	3084	2751	2346
Gm9915	1118	1276	841	1060	1083	1106
Gm29664	626	548	356	539	643	525
Gm28175	3842	3755	2492	4103	3837	3849
Gm28140	166	177	145	176	133	222
Gm37047	1984	2062	1525	1913	1851	1742
Pantr1	23688	23937	17736	21742	19496	20480
4930420N18Rik	15	16	30	30	35	11
Gm20646	5919	5591	3971	3503	4146	5723
Pou3f3	793	975	641	842	899	877
Pantr2	1003	969	697	2155	3999	6248
Dalir	45	45	27	23	27	27
Mrps9	1610	1755	1154	1212	1085	1321
Gm23126	984	1092	758	947	872	880
Gpr45	5	10	3	5	3	4
Gm24001	606	666	494	647	615	673
Tgfbrap1	14	31	47	52	20	63
Gm28782	597	697	456	666	661	555
8430432A02Rik	313	319	181	209	252	222
AI597479	26	30	20	17	27	21
Fhl2	263	311	241	337	356	402
Gm8210	1	6	0	7	5	11
Gm29040	1003	1392	1149	914	757	1222
Gm29610	9427	9916	7216	9623	10686	9242
Gm29041	0	0	0	0	0	0
Nck2	34	28	25	68	42	49
Gm37536	356	424	263	358	324	312
Gm38228	0	0	0	0	0	0
1500015O10Rik	132	145	131	153	127	128
Gm29155	103	147	80	216	293	199
Gm29157	135	133	75	545	709	519
Gm29156	2881	2931	2152	3254	3183	3511
Uxs1	695	732	433	842	876	621
Gm16103	8140	8121	6295	8167	7727	7056
Gm19587	1171	1072	786	1355	1257	1311
Gm8241	884	913	604	1048	878	929
Gm26352	1243	1319	877	1145	1072	1080
Gm24180	836	869	523	831	1071	905
Tpp2	690	670	394	759	869	669
Mettl21c	349	374	342	348	302	315
Gm15838	2209	2472	1795	2385	2462	2320
Gm8251	911	720	675	4059	907	974
Tex30	4422	4544	2808	4200	3945	3564
Gm29247	1472	1471	1292	1426	1389	1452
Kdelc1	167	127	139	398	165	220
Bivm	2	3	2	8	3	2
Ercc5	3	4	14	28	25	19
Mettl21e	180	205	148	162	207	170
Gm15833	11	9	8	27	25	8
Gm5700	159	97	65	161	183	132
Gm28893	9856	10329	8060	13415	11073	15444
Txn-ps1	2077	2114	1319	2002	2311	2813
Gulp1	0	0	0	0	1	0
Gm37626	440	429	356	421	449	429
Gm16102	5620	5734	3821	5502	5428	5205
