AD_C1	AD_C2	AD_C3	ATG7_T1	ATG7_T2	ATG7_T3
Gm6152	1250	1266	1228	1575	1481	971
Gm7445	753	718	776	962	946	569
Gm7493	155	131	159	4797	4533	2944
Gm37629	746	654	766	366	438	316
Gm38008	1171	965	1030	1457	1484	1010
Gm37143	0	0	0	2	0	0
Gm6187	3589	3604	3558	2014	1981	1384
Gm18299	0	0	0	4	1	13
Gm7512	5111	5193	5450	3089	3308	2227
Gm24765	0	0	0	29	34	13
Gm18300	4612	4534	4829	2606	2814	2130
Rrs1	0	0	1	15	20	9
Adhfe1	800	885	830	773	829	569
2610203C22Rik	99	99	89	372	522	529
Gm6161	1212	1058	1108	1113	1079	817
3110035E14Rik	837	778	819	1197	1196	787
Gm29520	0	0	0	0	0	0
Mybl1	0	0	0	0	0	2
Vcpip1	10	9	4	9	6	11
1700034P13Rik	3877	3614	3371	1882	2501	1969
Sgk3	5644	5080	4895	6416	6175	4193
Gm6195	0	0	0	2	0	1
Gm22607	0	0	1	6	7	5
Mcmdc2	0	0	0	164	311	278
Snhg6	89	105	91	91	65	53
Snord87	8	7	1	28	38	6
Tcf24	694	587	626	552	577	483
E330040D14Rik	0	0	0	0	0	0
Ppp1r42	1	1	2	0	0	0
Gm15818	1505	1474	1439	1896	1864	1271
Gm24674	1071	1082	1050	1402	1353	941
Cops5	0	0	0	0	0	0
Cspp1	0	0	0	1	2	0
1700047N06Rik	0	0	0	12	2	4
Arfgef1	0	0	0	44	59	47
Gm26348	2101	1952	2017	1879	2115	1294
Gm37569	2	0	1	7	2	7
Cpa6	8134	6686	7350	4885	4632	3050
Gm38005	1543	1419	1416	1481	1519	920
Gm15604	1779	1700	1898	1201	1146	722
Gm25253	1	1	0	553	612	433
Gm15603	2294	2359	2268	1973	2064	1309
Gm37133	0	0	0	1	0	1
Gm5522	1047	975	957	703	795	511
Gm28659	16	17	14	66	103	94
Gm22963	13815	14543	13181	8355	8685	6048
Prex2	4	2	8	23	37	52
Gm24173	7	3	4	2	8	10
Gm28686	37	38	12	13	15	5
Gm37410	2053	2166	1993	1768	1721	1114
A830018L16Rik	1	0	0	5	6	9
Gm38178	665	575	620	326	406	297
Gm29273	0	0	0	3	7	10
Gm38069	648	588	584	1102	949	593
Gm7560	4322	4453	4399	3580	3504	2198
Gm22633	2153	2127	2110	1400	1419	1017
Mir6341	3305	3574	3231	2482	2588	1923
Gm2383	0	0	0	6	5	0
Gm6216	29	18	19	19	34	12
Gm17644	956	925	931	1073	1060	610
Gm29663	0	0	0	45	33	37
Sulf1	110	144	122	103	111	81
Slco5a1	0	0	0	0	0	0
Gm37162	62	52	64	29	12	16
Gm5250	986	1030	989	730	849	546
Gm29283	2	0	0	0	0	0
Prdm14	2156	1833	1948	3260	3170	2023
Ncoa2	543	530	508	382	360	291
Gm38376	427	432	378	222	278	187
Gm37409	120	137	140	205	208	140
Gm27881	0	0	0	7	3	1
Gm38223	0	0	0	0	0	0
Gm37702	540	523	561	1680	1794	1260
Gm23169	288	288	372	776	761	412
Gm38120	1176	1073	1095	882	767	542
Gm38380	1161	1115	1006	789	976	532
Gm29570	0	0	0	12	11	38
Gm7593	0	0	0	0	1	0
Tram1	51	37	43	32	42	27
Lactb2	3398	3406	3498	1854	2057	1433
Gm38319	2580	2463	2439	1741	1739	1148
Xkr9	1427	1499	1394	1084	1058	720
Gm26273	934	738	752	627	670	580
Gm5523	86	99	85	61	35	44
Gm36947	4	8	4	3	3	1
Gm25491	45238	40516	42568	29513	29778	23869
Gm37400	2	0	0	0	0	0
Eya1	3	3	0	66	91	47
Gm22616	412	409	465	498	488	365
Gm37444	1732	1709	1707	1812	1755	1094
Gm9947	37	53	29	37	37	22
Msc	2933	2917	2849	2898	2906	1956
Gm37412	343	302	323	245	258	220
Smt3h2-ps4	452	404	431	471	400	294
Rpl5-ps1	3140	2946	3066	1438	1437	1228
Trpa1	457	401	401	546	486	390
Gm26345	678	545	591	869	789	634
Gm10566	0	0	0	0	0	0
Kcnb2	704	710	740	494	532	294
Gm38116	3398	3484	3187	2694	2590	2028
Gm37138	1	5	0	2	3	0
Gm25227	6667	6620	6707	4517	4504	3073
Gm25168	1888	1714	1710	1020	1024	715
Gm6060	0	0	3	0	0	0
Gm28669	744	582	708	649	646	429
Terf1	35	21	24	1541	1282	880
Gm37509	0	0	0	14	20	4
Sbspon	5585	5513	6297	13537	14201	10125
Gm23259	1244	1155	999	1647	1672	1023
Gm7634	36	39	25	181	190	146
4930444P10Rik	519	528	572	584	769	528
Rpl7	181	208	232	93	110	115
Rdh10	347	309	252	378	332	261
Gm38249	373	323	347	460	480	272
Gm28095	918	951	834	809	744	424
Stau2	1389	1343	1131	1380	1387	906
Gm7568	0	0	0	0	2	0
Ube2w	381	383	389	832	984	700
Gm38342	787	846	826	715	681	430
Tceb1	1304	1295	1310	759	833	629
D030040B21Rik	5	4	2	81	53	46
Gm7654	0	0	0	8	7	0
Tmem70	922	959	872	1087	1022	590
Ly96	22085	23327	23915	19067	19507	13773
Gm29649	1226	1078	1136	1296	1262	934
Gm5828	0	0	0	0	0	3
Gm28376	913	893	1049	966	1117	620
4921511E07Rik	4232	4134	4204	2438	2246	1656
Jph1	1771	1593	1761	2362	2082	1418
Gm28783	2145	2250	2234	1817	2121	1703
Gdap1	3150	2813	2903	4076	4039	2837
Gm28784	91	91	69	272	285	208
Gm28785	0	0	0	8	4	2
Gm5251	0	0	0	1	0	0
Rbm6-ps1	0	0	0	63	63	57
Gm6075	3383	3430	2810	3211	3020	1980
Gm25166	47	39	59	40	101	69
Pi15	1146	1002	1095	844	923	570
Gm28154	1659	1524	1409	1185	1342	982
Gm16070	3575	3388	3462	3305	3296	2394
Crispld1	6523	6500	6501	3102	3333	2749
Gm28153	1386	1231	1260	561	676	518
Gm7690	284	214	238	486	504	351
Gm18775	1294	1312	1268	967	929	659
Gm17969	57	67	85	39	39	30
RP24-571A14.6	0	0	0	2	4	4
Gm28755	0	0	0	154	183	201
Gm28756	0	4	2	11	8	9
Crisp4	642	581	601	773	822	487
Defb44-ps	1279	1298	1381	975	1011	811
Defb18	4160	4139	4144	2366	2644	1992
Defb41	2652	2606	2701	1698	1881	1387
Gm17837	6164	6655	6872	2629	2814	1946
Gm29006	5748	5236	5630	3639	3651	2446
Gm5252	12139	11853	13137	6619	7313	5055
Gm24075	1150	1065	1087	1694	1497	971
Gm28343	4386	3891	4149	4701	4942	3139
Gm28344	57	44	48	361	299	198
Gm15825	7885	7466	7196	5770	5942	3866
Tfap2d	10361	9873	9616	9800	10433	6921
Gm10075	780	780	716	350	366	227
Tfap2b	21758	21842	20767	11628	12256	9326
Gm28340	5074	4674	4878	3277	3365	2452
Gm28341	0	0	4	4	14	24
Gm4849	1536	1514	1665	969	1010	634
Gm24633	6338	6409	6570	5979	7031	5418
Gm38382	7311	7047	7044	7301	7443	5135
Pkhd1	3265	2960	3144	1432	1550	1226
Gm37315	756	718	760	663	652	461
4930486I03Rik	0	0	0	49	87	44
Gm15795	0	0	0	0	0	0
Gm24162	0	0	0	1	0	0
Mir206	934	969	897	738	710	409
Gm28653	0	0	0	7	6	4
Mir133b	1	10	2	10238	6942	7322
Il17a	9727	8840	8718	8340	8104	5925
Il17f	0	0	0	1	5	0
Mcm3	4	9	15	3	4	3
Gm20587	5303	5040	5311	2888	3072	2048
Gm28065	585	480	497	344	379	258
Gm24723	48	57	38	25	25	16
6720483E21Rik	915	914	957	416	443	329
Paqr8	734	652	681	406	376	240
Gm24171	26215	25838	28658	14109	14562	10595
Gm28064	2188	2124	1965	3192	2716	1873
Efhc1	2392	2108	2292	5293	4861	2844
Tram2	5	1	0	281	223	187
Gm28287	2	1	4	3	0	0
Gm2693	0	0	0	1	2	0
Tmem14a	1733	1789	1548	1184	1226	961
Gm38224	2854	2685	2818	3313	3333	2077
Gsta3	4	1	9	10	11	9
Gm28836	12	11	15	50	43	42
Gm7094	5	7	10	28	38	18
Gm4956	841	932	948	273	277	291
Gm21909	3813	4134	3806	1268	1664	1320
Khdc1a	1185	1191	1140	988	988	718
Gm16329	1384	1250	1195	1160	1285	787
Gm16327	1577	1609	1716	1210	1082	845
Khdc1c	0	0	0	0	0	0
Gm2709	0	0	0	0	0	0
Gm16533	0	0	0	13	8	13
Khdc1b	50	51	37	96	84	42
Gm16328	315	243	220	1020	962	697
Kcnq5	430	367	360	560	590	451
Gm36949	557	446	504	378	413	258
Gm7658	3	0	0	0	0	0
Gm38243	6	5	7	3	5	2
Gm26580	1223	1229	1229	636	674	500
Gm5696	1730	1673	1611	1226	1270	914
Gm28239	32	61	38	123	111	73
Rims1	893	996	925	416	499	403
Gm26866	9607	8873	9646	5959	6214	4537
Gm7761	0	0	3	3	2	6
Gm29506	0	0	0	45	90	41
4933415F23Rik	1017	971	972	2449	2389	1448
Gm24176	255	277	240	412	381	260
Gm6420	968	887	905	707	709	499
Mir30a	1	2	0	53	30	28
Gm27028	6	0	2	5	15	7
Mir30c-2	1174	1164	1078	763	721	674
Gm29107	389	453	362	771	708	478
Gm20954	0	0	0	0	0	0
Ogfrl1	2718	2835	2618	1822	1849	1533
Gm7784	3091	3035	3071	2314	2545	1770
Gm28822	1703	1760	1760	833	918	685
B3gat2	325	314	341	306	344	257
Smap1	7762	7351	8076	6924	7188	5189
Sdhaf4	0	0	0	8	21	2
Gm26524	2	1	0	0	3	0
Fam135a	0	0	0	0	0	0
Gm37580	0	0	0	0	0	0
Gm26607	0	0	0	0	0	0
Col9a1	0	1	6	1	2	2
Col19a1	840	826	871	492	542	347
Gm26418	6002	6774	6486	4388	4486	3651
Tubb4b-ps2	386	346	390	316	318	257
Gm28439	7340	7800	7667	5738	6227	4663
Gm10222	1433	1413	1345	1265	1327	823
Gm28438	4	7	7	29	26	32
Gm28437	1	0	0	29	28	29
Gm10925	987	923	788	1147	1325	1212
Gm28661	2426	2612	2504	1858	1994	1502
Gm29216	4	4	1	0	1	0
Lmbrd1	3031	2874	3032	2186	2249	1362
Gm28594	4446	4286	4476	3405	3314	2488
Gm28237	1698	1522	1414	2265	2184	1793
Gm9443	2975	2439	2138	1555	1746	1177
Gm29414	7740	7658	7527	5842	5717	4049
Adgrb3	1	4	3	108	66	60
Gm15702	703	637	744	941	1018	724
Gm20172	0	3	4	58	56	26
Gm22260	14	13	14	154	135	107
Gm37543	18	20	23	11	6	7
Gm37331	910	841	868	627	702	472
Gm37211	1464	1502	1387	762	885	547
Gm37862	362	403	332	238	237	161
Gm38286	0	0	0	0	0	1
Gm37880	0	0	0	45	40	13
Gm25294	2	4	5	7	4	1
Gm37011	0	0	0	114	89	77
Gm29214	877	952	775	837	898	494
Gm37051	898	860	984	622	627	446
Gm38260	7	0	4	13	12	10
Gm37628	1	2	1	9	1	6
8030445P17Rik	2291	2312	2353	1463	1557	1059
Gm38198	0	0	0	0	0	0
Gm37077	1221	1148	1188	1056	987	639
Gm37895	3011	2890	3116	1957	1905	1476
Gm36952	2033	2060	1962	1158	1153	907
Gm37602	4	8	8	414	298	187
2900022M07Rik	1929	1924	1509	3432	3300	2202
2900002M20Rik	699	711	681	576	642	411
Gm9884	14	10	1	50	40	13
Gm18443	0	0	0	14	25	26
Gm19123	709	582	531	450	428	249
Gm24064	5062	4943	4477	5938	6049	4162
4931408C20Rik	2748	2582	2722	2356	2765	1542
n-R5s209	82	67	83	22	94	17
Gm19641	246	195	177	175	150	91
Gm5524	528	539	632	273	242	169
Gm18776	826	720	772	919	966	608
Gm19028	286	244	261	196	260	173
Gm38089	2	4	1	2	7	6
Gm7846	228	232	200	137	142	62
Gm597	2	0	0	0	1	0
Gm5697	3837	3991	3971	2577	2785	2086
Gm6462	706	829	706	1064	1063	813
Gm18033	0	2	0	1	9	0
Gm25586	336	322	349	477	492	315
Gm22679	3274	3431	3185	892	998	831
Gm23785	76	98	80	209	165	143
Mir6342	491	533	503	667	768	408
Gm5525	2	4	1	101	151	146
Gm7858	4830	4579	4708	2873	2875	2062
Gm23771	2117	2054	2168	2423	2433	1589
Gm27430	0	0	2	0	0	0
Gm9898	51	35	51	163	174	164
Gm6473	802	625	631	775	697	510
Gm2914	817	736	796	649	675	415
Phf3	1822	1812	1936	1607	1509	1216
Gm37522	2486	2461	2249	3082	2663	1832
Gm37906	1083	988	932	1844	1793	1252
Ptp4a1	57	45	50	274	194	150
Gm5698	2505	2115	2340	4040	3693	2612
Gm9458	0	0	0	0	0	0
Gm5699	63	76	50	97	97	51
Gm29669	1060	971	1093	1231	1278	888
Gm28644	358	299	324	334	331	236
Gm27362	0	0	0	52	29	16
4931428L18Rik	0	0	0	2	4	0
Gm29128	303	278	321	101	98	92
Gm7893	395	395	413	381	392	281
Lgsn	322	359	299	299	296	227
Pih1d3	3268	2985	3564	1404	1618	1351
Gm26145	3162	3479	3297	1128	1211	1014
Gm4850	509	513	443	540	607	499
Gm28645	276	218	264	143	136	95
Gm6489	2266	2142	2136	1680	1853	1241
Gm10307	1405	1331	1401	1473	1491	1062
Gm19680	6	2	3	12	16	3
Gm23032	217	207	194	1478	1536	939
Gm7910	703	689	812	507	562	424
Khdrbs2	508	548	563	628	656	518
Gm25814	1995	1855	1924	2188	2480	1643
Gm37999	0	1	0	0	0	0
Gm37110	1142	1160	1118	1012	1040	663
Gm37911	205	209	247	172	144	129
Gm9839	511	457	435	558	510	295
Gm37792	153	134	190	404	366	187
Gm5415	1270	1177	1264	1428	1377	982
Gm24732	1970	1737	1970	1180	1320	844
Gm37426	596	529	648	441	478	280
Gm23024	140	106	134	71	83	51
Gm37151	1007	783	940	1069	922	656
Gm28624	620	576	618	706	692	418
Gm37724	816	691	755	1057	1074	692
Gm7114	33	24	21	42	44	38
Gm4785	1173	1183	1028	1183	1051	748
Gm24901	489	472	415	441	421	285
Gm37591	1307	1312	1164	1449	1472	866
Gm2987	2626	2616	2662	1774	1880	1322
Gm25792	938	820	905	616	617	488
Gm18799	1	0	0	0	1	0
Gm7933	1	2	1	9	8	2
Gm23453	4706	4962	4636	1925	2204	1685
Prim2	302	242	234	285	296	157
Gm29228	5	1	0	37	29	46
Gm37618	2387	1999	2208	2638	2549	1561
Gm17813	1	3	1	0	0	0
1700001G17Rik	28	27	42	477	478	306
Gm38173	2655	2428	2401	1641	1679	1200
Rab23	1773	1760	1700	2103	2193	1612
Bag2	647	620	663	454	435	326
Gm37905	0	7	2	51	30	14
Zfp451	1	5	8	2	7	16
Gm15455	748	618	702	791	749	423
Bend6	0	0	0	0	0	0
Gm37067	3110	2931	2812	1473	1514	1068
Dst	1028	938	948	1046	1002	836
Gm37354	1060	1011	1010	945	1053	662
Gm28631	565	523	463	459	491	335
Gm23792	708	692	620	592	598	353
Gm38157	0	0	0	0	0	1
Mir6896	319	283	289	216	189	159
Gm26788	3693	3600	3635	2479	2797	2273
A930005N03Rik	1104	1021	1115	680	589	491
Gm37958	134	143	134	81	115	38
Gm37385	6	4	7	7	9	6
Gm5266	0	0	0	126	137	100
Gm3052	402	395	421	261	309	192
Gm37233	0	0	0	5	10	8
Mir5103	0	0	0	138	171	196
Ccdc115	5143	5661	5758	2650	2669	1987
Gm28306	1140	1166	1170	1087	1266	929
Imp4	493	406	472	448	422	210
Ptpn18	22	46	51	65	66	45
Gm28417	1177	1144	1218	848	824	557
4930568A12Rik	2650	2612	2698	2578	2751	2178
Prss39	5205	5034	4718	3962	4231	3271
Gm28416	747	682	656	796	807	415
Cfc1	1025	955	897	725	656	530
Gm28419	1542	1593	1539	1479	1497	1099
Prss40	1	7	4	3	5	0
1700101I19Rik	17	22	18	40	41	21
Amer3	2482	2319	2395	2603	2437	1594
Gm28418	154	123	131	165	130	67
Gm36984	1	2	4	2	2	0
Gm29730	92	90	79	79	76	72
AA619741	1623	1508	1546	1215	982	744
Arhgef4	250	232	256	340	302	167
Gm37224	180	154	171	172	204	113
Gm37845	949	972	975	730	653	345
Gm38336	3906	3644	3583	4336	4374	2878
Fam168b	365	361	313	424	386	189
Gm37127	1725	1555	1623	1528	1631	1131
Plekhb2	621	531	552	362	382	275
Gm19430	276	249	213	762	792	445
Gm37670	2217	2165	2048	1571	1568	988
Gm8009	2997	2894	3025	1422	1292	1032
Gm38027	393	410	402	352	301	150
Gm25096	776	791	824	534	561	399
Gm37068	501	493	578	312	295	201
Gm25634	0	2	3	91	88	59
Gm28415	5119	5039	5446	3047	2814	2081
1110002O04Rik	789	719	619	738	702	372
Gm8022	2386	2635	2503	1872	2131	1540
Gm37146	1168	1043	1041	2431	2453	1581
Gm33222	295	289	275	387	315	330
4930535G08Rik	460	430	403	871	972	682
Gm38049	12	6	7	13	34	8
Hs6st1	69	85	88	171	187	97
Gm37335	0	0	0	0	0	0
Gm33280	8	7	14	246	223	135
Uggt1	1939	1686	1786	1914	1922	1112
Mir6897	2599	2410	2624	1507	1765	1135
Neurl3	3401	3464	3289	2525	2504	1874
Arid5a	647	547	562	412	461	306
4930403P22Rik	1829	1521	1786	1280	1266	924
Kansl3	1508	1454	1340	990	964	599
Mir6898	2845	2888	2966	2556	2785	1943
Fer1l5	164	148	160	298	299	174
Lman2l	2404	2321	2542	1048	1194	890
Cnnm4	93	70	82	3811	3809	2677
Gm37909	337	317	415	1169	1236	816
AC084391.1	1252	1269	1164	1761	1679	969
Cnnm3	9	3	8	31	31	19
Gm38033	3190	3208	3004	2530	2881	1753
Ankrd23	4368	4351	4134	5942	5557	4019
Gm42417	1957	2100	2080	1867	1832	1289
Ankrd39	4118	4114	4283	3028	3160	2460
Sema4c	1951	2062	2073	1384	1515	1067
D430040D24Rik	2779	2874	2754	2372	2265	1641
Fam178b	2572	2180	2466	6205	5894	3521
Gm6428	1	0	1	0	1	0
Gm24133	271	322	248	259	274	225
Cox5b	1952	1728	1710	1725	1677	1164
Actr1b	6	2	0	4	4	4
4933424G06Rik	4468	3849	4354	2820	2855	1906
Gm33533	1476	1387	1504	1266	1342	732
Zap70	2356	2252	2139	2195	1910	1488
Gm18828	169	164	200	360	374	183
Tmem131	3810	3879	3626	2018	2039	1583
Gm37506	194	192	193	286	294	189
Gm38115	927	910	937	716	682	463
F830112A20Rik	0	0	0	19	21	17
Rpl12-ps1	1141	1006	1012	1087	1123	834
n-R5s210	2878	3019	2986	5153	5283	3706
Vwa3b	1984	1993	2045	2043	1837	1063
Gm37020	865	690	670	843	834	588
Cnga3	255	242	244	256	233	171
1700074A21Rik	175	191	192	156	199	96
Inpp4a	1381	1204	1224	904	827	617
4930439A04Rik	1626	1360	1547	1319	1223	765
Gm37135	0	0	2	11	14	3
Coa5	243	219	228	176	194	127
Unc50	4262	4542	3514	4370	4255	3669
Mgat4a	1	0	0	0	0	0
4930594C11Rik	578	638	637	584	590	415
Gm43213	614	692	638	706	752	558
2010300C02Rik	1117	1076	1186	786	852	603
4930556I23Rik	3159	3279	3281	1831	1840	1463
4930470B04Rik	1736	1609	1534	1340	1313	929
Gm19863	166	165	192	117	97	120
Tsga10	1	2	1	4	3	0
Gm26805	69	94	84	518	523	362
Lipt1	26	30	35	43	37	30
Mitd1	2	2	5	135	145	99
Mrpl30	992	913	970	683	567	416
Lyg2	1961	1807	1894	1682	1715	1385
Gm15457	0	0	0	0	1	1
Lyg1	4995	4677	4383	6222	5672	3639
Gm23409	4	6	1	6	7	0
Txndc9	580	564	581	683	650	373
Eif5b	2778	2598	2642	2180	2283	1497
Rev1	526	427	488	420	372	283
Gm37062	512	526	542	612	573	496
Gm5099	1342	1307	1363	876	821	578
Aff3	10	11	14	0	6	3
Gm16150	848	729	824	400	466	313
Gm16151	3935	3716	3652	2187	2340	1642
Gm16152	378	403	351	747	665	462
Gm34727	686	616	564	613	599	422
Gm38135	0	2	3	1	4	0
2610300A13Rik	269	230	314	347	306	157
Lonrf2	1307	1299	1224	1448	1504	1024
Chst10	3102	2850	3039	2743	2651	1816
Gm37707	0	0	0	0	0	0
Gm6621	53	56	52	4	5	5
Nms	0	1	3	4	3	5
Pdcl3	40	46	32	255	223	149
Gm37309	921	855	904	649	651	508
Gm37821	401	297	370	284	289	238
Gm37091	6513	6222	6830	4372	4629	3056
Mir6349	3951	3221	3382	3225	3300	2059
Npas2	1	0	1	0	0	0
Gm20428	1749	1585	1634	1250	1466	847
Gm3617	897	816	819	602	659	496
Rpl31	236	196	224	116	115	90
Tbc1d8	1520	1558	1327	1171	1072	974
Gm37265	1993	1897	1931	2981	3245	2013
Gm24826	1080	1138	1230	928	954	621
Gm24826.1	0	0	0	0	0	0
Cnot11	0	0	0	2	3	0
Gm15832	0	0	0	2	0	1
Snord89	0	0	0	59	74	72
Rnf149	3684	3351	3499	2068	2289	1690
Gm23722	0	0	0	0	0	0
Gm5100	1276	1242	1252	1233	1162	893
Creg2	647	641	624	250	268	211
D930019O06Rik	614	595	613	430	413	330
Rfx8	3507	3086	3365	2150	2272	1446
Gm3646	457	395	490	211	235	172
1700066B17Rik	1513	1330	1397	2154	1902	1166
Map4k4	2029	1829	1887	727	588	528
4930456G14Rik	41	32	27	669	29	35
Il1r2	1012	870	784	1722	1734	1122
Gm16894	359	329	360	311	275	184
Gm37347	0	0	0	0	1	0
Il1r1	337	330	308	458	523	322
Gm38070	757	750	789	812	826	591
Il1rl2	524	461	437	617	572	384
Gm17970	307	249	242	461	499	288
Il1rl1	238	213	228	509	504	344
Il18r1	336	318	354	325	277	165
Il18rap	250	216	289	2529	1757	1375
Gm35801	983	1008	895	968	926	626
Slc9a4	2152	1837	2051	2312	2251	1555
Gm37435	0	0	0	0	0	1
Slc9a2	6212	6123	5444	4928	5025	3347
Gm37623	1436	1317	1369	1024	1211	771
Gm37915	0	1	3	8	4	14
Mfsd9	809	695	707	542	629	379
Tmem182	1226	1138	1148	1419	1378	700
Gm5973	2636	2689	2781	1914	2032	1445
4930448I06Rik	1634	1707	1572	1746	1684	1134
Gm28634	165	154	157	332	208	187
Gm29260	358	268	287	385	398	307
Gm5267	4214	4104	3896	3185	3331	2088
Gm8176	5361	5453	5595	2900	3279	2312
Gm9915	1691	1587	1531	1118	1276	841
Gm29664	670	629	662	626	548	356
Gm28175	4479	4020	4329	3842	3755	2492
Gm28140	124	129	127	166	177	145
Gm37047	3554	3153	3428	1984	2062	1525
Pantr1	26057	25541	27920	23688	23937	17736
4930420N18Rik	5	4	5	15	16	30
Gm20646	4251	4160	3452	5919	5591	3971
Pou3f3	1796	1527	1736	793	975	641
Pantr2	511	497	639	1003	969	697
Dalir	70	76	53	45	45	27
Mrps9	2568	2613	2542	1610	1755	1154
Gm23126	2804	2841	2679	984	1092	758
Gpr45	7	6	10	5	10	3
Gm24001	1369	1165	1209	606	666	494
Tgfbrap1	0	0	0	14	31	47
Gm28782	1059	1168	1147	597	697	456
8430432A02Rik	286	384	313	313	319	181
AI597479	18	28	17	26	30	20
Fhl2	573	572	618	263	311	241
Gm8210	0	0	0	1	6	0
Gm29040	1951	1866	2125	1003	1392	1149
Gm29610	19210	17294	18881	9427	9916	7216
Gm29041	0	0	0	0	0	0
Nck2	0	0	0	34	28	25
Gm37536	708	664	749	356	424	263
Gm38228	0	0	0	0	0	0
1500015O10Rik	544	464	508	132	145	131
Gm29155	117	95	142	103	147	80
Gm29157	28	35	37	135	133	75
Gm29156	2074	1755	1874	2881	2931	2152
Uxs1	421	433	426	695	732	433
Gm16103	13656	13003	13729	8140	8121	6295
Gm19587	1054	1046	990	1171	1072	786
Gm8241	1522	1392	1588	884	913	604
Gm26352	1980	1861	1986	1243	1319	877
Gm24180	1050	880	1007	836	869	523
Tpp2	739	656	757	690	670	394
Mettl21c	696	724	573	349	374	342
Gm15838	3884	3762	3913	2209	2472	1795
Gm8251	2	0	0	911	720	675
Tex30	6953	6641	6149	4422	4544	2808
Gm29247	2800	2420	2465	1472	1471	1292
Kdelc1	1	0	0	167	127	139
Bivm	0	0	0	2	3	2
Ercc5	0	0	0	3	4	14
Mettl21e	418	388	398	180	205	148
Gm15833	0	0	0	11	9	8
Gm5700	78	55	32	159	97	65
Gm28893	5653	5474	5682	9856	10329	8060
Txn-ps1	1320	1368	1292	2077	2114	1319
Gulp1	0	0	0	0	0	0
Gm37626	520	534	494	440	429	356
Gm16102	7614	6962	7007	5620	5734	3821
