chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value	ensembl
chr1	23071248	23072160	KDM1A	0	+	23071248	23072160	0	2	112,37	0,876	-0.488352766081432	0.0489528567682615	ENSG00000004487.17
chr3	49940157	49940491	RBM6	0	+	49940157	49940491	0	2	69,31	0,304	0.65232518604026	0.0352085210155326	ENSG00000004534.15
chr3	49967456	49967955	RBM6	0	+	49967456	49967955	0	1	499	0	-0.402612039125758	0.08863656021605	ENSG00000004534.15
chr3	49968006	49968055	RBM6	0	+	49968006	49968055	0	1	49	0	-0.117783035656384	0.549810834434426	ENSG00000004534.15
chr3	49968156	49968205	RBM6	0	+	49968156	49968205	0	1	49	0	0.607204750759153	0.0104799586331028	ENSG00000004534.15
chr3	49968256	49968455	RBM6	0	+	49968256	49968455	0	1	199	0	0.554996842067483	0.541092533408212	ENSG00000004534.15
chr3	49968506	49968655	RBM6	0	+	49968506	49968655	0	1	149	0	-0.504246652754354	0.415102009579002	ENSG00000004534.15
chr3	49968706	49972065	RBM6	0	+	49968706	49972065	0	2	43,7	0,3353	0.481451015086085	0.316786221022968	ENSG00000004534.15
chr3	50057819	50057968	RBM6	0	+	50057819	50057968	0	1	149	0	-0.117783035656384	0.840742197309721	ENSG00000004534.15
chr3	50061999	50065120	RBM6	0	+	50061999	50065120	0	2	110,90	0,3032	-0.615588946216379	0.0581541966863401	ENSG00000004534.15
chr3	50066282	50066381	RBM6	0	+	50066282	50066381	0	1	99	0	-0.0982702214328011	0.698481906213757	ENSG00000004534.15
chr3	50066482	50068718	RBM6	0	+	50066482	50068718	0	2	21,29	0,2208	0.386772974970145	0.185768370275435	ENSG00000004534.15
chr3	50070459	50070508	RBM6	0	+	50070459	50070508	0	1	49	0	-0.0901510969942975	0.646733679104255	ENSG00000004534.15
chr3	50092079	50092178	RBM6	0	+	50092079	50092178	0	1	99	0	0.643136761488281	0.0291279952584295	ENSG00000004534.15
chr3	50093790	50099995	RBM6	0	+	50093790	50099995	0	2	86,14	0,6192	0.439951284488954	0.261519109068102	ENSG00000004534.15
chr17	3860914	3861013	CAMKK1	0	-	3860914	3861013	0	1	99	0	0.324926245604185	0.102880152794586	ENSG00000004660.15
chr17	3861063	3861162	CAMKK1	0	-	3861063	3861162	0	1	99	0	0.454255271946962	0.415291911194568	ENSG00000004660.15
chr17	3861213	3861511	CAMKK1	0	-	3861213	3861511	0	1	298	0	0.630408839502637	0.0319083297316064	ENSG00000004660.15
chr17	3861812	3861960	CAMKK1	0	-	3861812	3861960	0	1	148	0	1.03192091416944	0.0949274935727274	ENSG00000004660.15
chr17	3872556	3872605	CAMKK1	0	-	3872556	3872605	0	1	49	0	-0.669049628980405	0.402995067370051	ENSG00000004660.15
chr17	3885614	3885713	CAMKK1	0	-	3885614	3885713	0	1	99	0	1.23884163000057	0.0172686323019635	ENSG00000004660.15
chr12	21469258	21469307	RECQL	0	-	21469258	21469307	0	1	49	0	-0.928713251757239	0.0241009331291089	ENSG00000004700.16
chr19	18832109	18832158	UPF1	0	+	18832109	18832158	0	1	49	0	0.0889474860163912	0.845370641964893	ENSG00000005007.13
chr19	18832208	18832307	UPF1	0	+	18832208	18832307	0	1	99	0	0.828692672555818	0.00319010872779335	ENSG00000005007.13
chr19	18832358	18832407	UPF1	0	+	18832358	18832407	0	1	49	0	-0.18232155679422	0.740031849963531	ENSG00000005007.13
chr19	18856215	18856264	UPF1	0	+	18856215	18856264	0	1	49	0	-1.09861228867024	0.117612697523157	ENSG00000005007.13
chr19	18859787	18859836	UPF1	0	+	18859787	18859836	0	1	49	0	0.274436845375803	0.361293127630337	ENSG00000005007.13
chr19	18866636	18866735	UPF1	0	+	18866636	18866735	0	1	99	0	0.487703206302193	0.178908792706061	ENSG00000005007.13
chr19	18866785	18866834	UPF1	0	+	18866785	18866834	0	1	49	0	0.567984037605939	0.0146991191650109	ENSG00000005007.13
chr19	18867134	18867183	UPF1	0	+	18867134	18867183	0	1	49	0	1.11803037452521	0.0229580608151417	ENSG00000005007.13
chr19	18867284	18867682	UPF1	0	+	18867284	18867682	0	1	398	0	0.375789339962048	0.44167034829615	ENSG00000005007.13
chr19	18867832	18867881	UPF1	0	+	18867832	18867881	0	1	49	0	-0.507430034765745	0.0820698102737795	ENSG00000005007.13
chrX	119469932	119469981	SLC25A5	0	+	119469932	119469981	0	1	49	0	-0.562307579601187	0.0310643335252524	ENSG00000005022.6
chr7	27182738	27182787	HOXA11	0	-	27182738	27182787	0	1	49	0	-0.559615787085131	0.223908531135658	ENSG00000005073.6
chr7	27184541	27184590	HOXA11	0	-	27184541	27184590	0	1	49	0	-0.351397886841207	0.601653194519912	ENSG00000005073.6
chr7	27184788	27184886	HOXA11	0	-	27184788	27184886	0	1	98	0	0.778914000202139	0.22927103479352	ENSG00000005073.6
chr7	27184936	27185084	HOXA11	0	-	27184936	27185084	0	1	148	0	0.765120679490285	0.000667700149839746	ENSG00000005073.6
chr7	102473215	102473264	POLR2J	0	-	102473215	102473264	0	1	49	0	0.083381608939053	0.699142136848842	ENSG00000005075.15
chr7	102473505	102473602	POLR2J	0	-	102473505	102473602	0	1	97	0	1.51412773262593	0.0050268715468525	ENSG00000005075.15
chr7	102474434	102474532	POLR2J	0	-	102474434	102474532	0	1	98	0	0.569450467113531	0.00956667129900698	ENSG00000005075.15
chr7	102476224	102478859	POLR2J	0	-	102476224	102478859	0	2	47,52	0,2584	0.627824037961957	0.00351785224361054	ENSG00000005075.15
chr17	5443762	5443811	DHX33	0	-	5443762	5443811	0	1	49	0	0.0953101798050417	0.710539130982987	ENSG00000005100.13
chr17	5444011	5444110	DHX33	0	-	5444011	5444110	0	1	99	0	0.304211374402992	0.583231679801811	ENSG00000005100.13
chr17	5444161	5444210	DHX33	0	-	5444161	5444210	0	1	49	0	0.435318071295741	0.185842097684332	ENSG00000005100.13
chr17	5444261	5444310	DHX33	0	-	5444261	5444310	0	1	49	0	-0.131028262406835	0.584464767086686	ENSG00000005100.13
chr17	5462371	5462420	DHX33	0	-	5462371	5462420	0	1	49	0	-0.206336432997813	0.324709714168363	ENSG00000005100.13
chr17	34980562	34980678	LIG3	0	+	34980562	34980678	0	2	61,39	0,78	1.22866541773045	0.0484184417425959	ENSG00000005156.12
chr17	34983042	34983141	LIG3	0	+	34983042	34983141	0	1	99	0	-0.0444517627445468	0.953665245624977	ENSG00000005156.12
chr17	34983192	34985978	LIG3	0	+	34983192	34985978	0	2	361,37	0,2750	-0.82818346436392	0.199549695409665	ENSG00000005156.12
chr17	34998269	34998625	LIG3	0	+	34998269	34998625	0	2	28,22	0,335	-0.143100843796196	0.660715742015461	ENSG00000005156.12
chr17	35002058	35002720	LIG3	0	+	35002058	35002720	0	2	47,53	0,610	0.950976290129919	0.142313472550101	ENSG00000005156.12
chr12	47702776	47702825	RPAP3	0	-	47702776	47702825	0	1	49	0	-0.443492503596691	0.198840240416775	ENSG00000005175.10
chr19	2341134	2341183	SPPL2B	0	+	2341134	2341183	0	1	49	0	-0.271933715498779	0.674893462650759	ENSG00000005206.17
chr19	2341284	2341333	SPPL2B	0	+	2341284	2341333	0	1	49	0	0.536304709066976	0.110560011094695	ENSG00000005206.17
chr19	2341533	2341631	SPPL2B	0	+	2341533	2341631	0	1	98	0	0.383958901796518	0.53392717055214	ENSG00000005206.17
chr19	2341831	2341880	SPPL2B	0	+	2341831	2341880	0	1	49	0	0.803495237726312	0.0308367656453531	ENSG00000005206.17
chr19	2342080	2342378	SPPL2B	0	+	2342080	2342378	0	1	298	0	0.797136893638494	0.0153217473454549	ENSG00000005206.17
chr19	2342429	2342746	SPPL2B	0	+	2342429	2342746	0	2	75,25	0,293	0.708185057924472	0.00344746441437768	ENSG00000005206.17
chr19	2353104	2353303	SPPL2B	0	+	2353104	2353303	0	1	199	0	0.838858991741339	0.0225214609158703	ENSG00000005206.17
chr19	2353702	2353850	SPPL2B	0	+	2353702	2353850	0	1	148	0	0.32144625204671	0.589391998779303	ENSG00000005206.17
chr19	2354399	2354448	SPPL2B	0	+	2354399	2354448	0	1	49	0	-0.717839793193959	0.303818728666569	ENSG00000005206.17
chr7	107069908	107069957	PRKAR2B	0	+	107069908	107069957	0	1	49	0	-2.46621451677585	0.0762222779961676	ENSG00000005249.13
chr16	3727750	3727849	CREBBP	0	-	3727750	3727849	0	1	99	0	-0.176930709406141	0.893112486016882	ENSG00000005339.15
chr16	3727900	3727949	CREBBP	0	-	3727900	3727949	0	1	49	0	0.262364264467508	0.158588223112259	ENSG00000005339.15
chr16	3728549	3728598	CREBBP	0	-	3728549	3728598	0	1	49	0	0.223143550889017	0.579534855240202	ENSG00000005339.15
chr16	3767826	3769189	CREBBP	0	-	3767826	3769189	0	2	84,16	0,1348	-0.211309094020633	0.752145193148961	ENSG00000005339.15
chr16	3812950	3813069	CREBBP	0	-	3812950	3813069	0	2	28,72	0,48	-0.942043224415205	0.0202274190361488	ENSG00000005339.15
chr16	3850344	3850443	CREBBP	0	-	3850344	3850443	0	1	99	0	-0.587786664902146	0.0741772640686549	ENSG00000005339.15
chr16	3850494	3850693	CREBBP	0	-	3850494	3850693	0	1	199	0	0.526825965112431	0.209576363700627	ENSG00000005339.15
chr16	3850793	3850842	CREBBP	0	-	3850793	3850842	0	1	49	0	-0.0229895182249897	0.953776886592377	ENSG00000005339.15
chr7	105014390	105014489	KMT2E	0	+	105014390	105014489	0	1	99	0	-0.308301359656148	0.692943202891039	ENSG00000005483.21
chr7	105076999	105077048	KMT2E	0	+	105076999	105077048	0	1	49	0	-0.0465200156348933	0.905308003839922	ENSG00000005483.21
chr7	105077099	105077148	KMT2E	0	+	105077099	105077148	0	1	49	0	0.303682413790057	0.222306518309492	ENSG00000005483.21
chr7	105090030	105090079	KMT2E	0	+	105090030	105090079	0	1	49	0	-0.961411167154624	0.0104085206586402	ENSG00000005483.21
chr7	105091272	105091321	KMT2E	0	+	105091272	105091321	0	1	49	0	-0.712195375460553	0.124285832411736	ENSG00000005483.21
chr7	105101933	105102032	KMT2E	0	+	105101933	105102032	0	1	99	0	-1.48160454083601	0.00905976863407014	ENSG00000005483.21
chr7	105107486	105107635	KMT2E	0	+	105107486	105107635	0	1	149	0	0.788457360364232	0.0871793380525648	ENSG00000005483.21
chr7	105107686	105107785	KMT2E	0	+	105107686	105107785	0	1	99	0	0.606135803570316	0.0400510111535755	ENSG00000005483.21
chr7	105112270	105112369	KMT2E	0	+	105112270	105112369	0	1	99	0	0.374693449441388	0.738927617609725	ENSG00000005483.21
chr7	105112420	105112669	KMT2E	0	+	105112420	105112669	0	1	249	0	-0.472604410864369	0.688050827777022	ENSG00000005483.21
chr7	105112720	105112819	KMT2E	0	+	105112720	105112819	0	1	99	0	0.815036998166071	0.492073067110361	ENSG00000005483.21
chr7	105113220	105113269	KMT2E	0	+	105113220	105113269	0	1	49	0	0.0178046245801977	0.932898457590119	ENSG00000005483.21
chr7	75888827	75888876	RHBDD2	0	+	75888827	75888876	0	1	49	0	-1.38629436111989	0.152976165283573	ENSG00000005486.17
chr6	82214368	82214417	IBTK	0	-	82214368	82214417	0	1	49	0	-1.23395363653787	0.0413074670422632	ENSG00000005700.15
chr6	82240788	82240837	IBTK	0	-	82240788	82240837	0	1	49	0	-0.72743625403861	0.00996707202616309	ENSG00000005700.15
chr11	3358710	3358759	ZNF195	0	-	3358710	3358759	0	1	49	0	-0.263814591045137	0.531139090113219	ENSG00000005801.18
chr11	3359159	3359258	ZNF195	0	-	3359159	3359258	0	1	99	0	-0.646627164925052	0.12784145103894	ENSG00000005801.18
chr11	3359308	3359407	ZNF195	0	-	3359308	3359407	0	1	99	0	-0.65287328224488	0.0993507729677377	ENSG00000005801.18
chr11	3359458	3359607	ZNF195	0	-	3359458	3359607	0	1	149	0	-0.626455806058148	0.138831607801419	ENSG00000005801.18
chr11	3359657	3359706	ZNF195	0	-	3359657	3359706	0	1	49	0	0.784118958732087	0.0355431179073461	ENSG00000005801.18
chr11	3360106	3360155	ZNF195	0	-	3360106	3360155	0	1	49	0	-0.143100843670055	0.623053602696631	ENSG00000005801.18
chr13	77097442	77097541	MYCBP2	0	-	77097442	77097541	0	1	99	0	-0.213093215461712	0.737538210376204	ENSG00000005810.18
chr13	77098191	77098240	MYCBP2	0	-	77098191	77098240	0	1	49	0	-0.59962112254912	0.0175591929937515	ENSG00000005810.18
chr13	77098341	77098390	MYCBP2	0	-	77098341	77098390	0	1	49	0	-0.0444517627178334	0.94995211908026	ENSG00000005810.18
chr13	77098591	77098640	MYCBP2	0	-	77098591	77098640	0	1	49	0	-0.149940147291	0.777050036573957	ENSG00000005810.18
chr13	77174413	77174462	MYCBP2	0	-	77174413	77174462	0	1	49	0	-0.145711811029508	0.696329728418263	ENSG00000005810.18
chr13	77257695	77257744	MYCBP2	0	-	77257695	77257744	0	1	49	0	-0.3839589028872	0.347365686959953	ENSG00000005810.18
chr13	77261221	77261270	MYCBP2	0	-	77261221	77261270	0	1	49	0	-1.04145387260623	0.0133680628398668	ENSG00000005810.18
chr13	77296646	77326544	MYCBP2	0	-	77296646	77326544	0	2	29,71	0,29828	-0.528067430711314	0.505136447592075	ENSG00000005810.18
chr13	77007325	77007473	FBXL3	0	-	77007325	77007473	0	1	148	0	-1.17007125265724	0.0120969847450988	ENSG00000005812.11
chr17	50056119	50056317	ITGA3	0	+	50056119	50056317	0	1	198	0	0.890972923889865	0.00525011159195665	ENSG00000005884.18
chr17	50056467	50056516	ITGA3	0	+	50056467	50056516	0	1	49	0	-0.669049628982403	0.28178297700861	ENSG00000005884.18
chr17	50068218	50068267	ITGA3	0	+	50068218	50068267	0	1	49	0	-0.199128675110336	0.598774901338238	ENSG00000005884.18
chr17	50089487	50090182	ITGA3	0	+	50089487	50090182	0	1	695	0	-0.592051063688573	0.329344503051788	ENSG00000005884.18
chrX	24179332	24179381	ZFX	0	+	24179332	24179381	0	1	49	0	-1.49392502531226	0.0151496570152909	ENSG00000005889.15
chrX	24179532	24179581	ZFX	0	+	24179532	24179581	0	1	49	0	-0.664159643686693	0.117589542771092	ENSG00000005889.15
chrX	24210265	24210513	ZFX	0	+	24210265	24210513	0	1	248	0	-0.637577329404715	0.00211071671411889	ENSG00000005889.15
chrX	24210564	24210613	ZFX	0	+	24210564	24210613	0	1	49	0	-0.215111379617011	0.312475977524896	ENSG00000005889.15
chrX	24210664	24210713	ZFX	0	+	24210664	24210713	0	1	49	0	-0.271933715483642	0.187674214444111	ENSG00000005889.15
chrX	24210814	24211013	ZFX	0	+	24210814	24211013	0	1	199	0	-0.646627164927321	0.126161433275012	ENSG00000005889.15
chrX	24211063	24211112	ZFX	0	+	24211063	24211112	0	1	49	0	-1.19770319131035	0.109348737123081	ENSG00000005889.15
chrX	24211163	24211312	ZFX	0	+	24211163	24211312	0	1	149	0	-1.03212254742152	0.0174721484646942	ENSG00000005889.15
chr16	19503439	19503538	GDE1	0	-	19503439	19503538	0	1	99	0	0.476924072071472	0.341335519085531	ENSG00000006007.12
chr17	45263169	45263267	MAP3K14	0	-	45263169	45263267	0	1	98	0	0.40075921707078	0.183379605186873	ENSG00000006062.17
chr17	45264262	45264311	MAP3K14	0	-	45264262	45264311	0	1	49	0	0.097163748492957	0.792657069157047	ENSG00000006062.17
chr17	45264412	45264461	MAP3K14	0	-	45264412	45264461	0	1	49	0	0.796331416794853	0.00484270149837607	ENSG00000006062.17
chr17	45286744	45286843	MAP3K14	0	-	45286744	45286843	0	1	99	0	0.928713251898857	0.00465961995753634	ENSG00000006062.17
chr17	45290603	45290652	MAP3K14	0	-	45290603	45290652	0	1	49	0	0.374693449440519	0.151609905932941	ENSG00000006062.17
chr17	45290703	45290752	MAP3K14	0	-	45290703	45290752	0	1	49	0	0.255933374137201	0.52033051540404	ENSG00000006062.17
chr11	60936214	60936412	TMEM132A	0	+	60936214	60936412	0	1	198	0	1.02165124753198	0.321073264089946	ENSG00000006118.14
chr11	60936463	60936711	TMEM132A	0	+	60936463	60936711	0	1	248	0	0.723000143705475	0.078198368504973	ENSG00000006118.14
chr11	60936761	60937109	TMEM132A	0	+	60936761	60937109	0	1	348	0	1.30885243514637	2.02534962812404e-05	ENSG00000006118.14
chr17	35587372	35587471	AP2B1	0	+	35587372	35587471	0	1	99	0	-0.371563556432483	0.550982257638176	ENSG00000006125.18
chr17	35587572	35587621	AP2B1	0	+	35587572	35587621	0	1	49	0	-0.916290731879873	0.0127168942327403	ENSG00000006125.18
chr17	35594051	35598262	AP2B1	0	+	35594051	35598262	0	2	17,33	0,4179	-0.0588405002971128	0.845954499079072	ENSG00000006125.18
chr17	35639599	35639648	AP2B1	0	+	35639599	35639648	0	1	49	0	-0.985283603361106	0.000458682147841394	ENSG00000006125.18
chr17	35723717	35723766	AP2B1	0	+	35723717	35723766	0	1	49	0	-0.724695538295981	0.0172976655630555	ENSG00000006125.18
chr16	3289538	3289885	ZNF263	0	+	3289538	3289885	0	1	347	0	0.478999192154313	0.723656566225379	ENSG00000006194.10
chr16	3289935	3289984	ZNF263	0	+	3289935	3289984	0	1	49	0	1.25276296849536	0.00955089409401777	ENSG00000006194.10
chr16	3290183	3290232	ZNF263	0	+	3290183	3290232	0	1	49	0	0.341443249261517	0.230665612617095	ENSG00000006194.10
chr16	3290382	3290431	ZNF263	0	+	3290382	3290431	0	1	49	0	0.524524468108978	0.395486507008835	ENSG00000006194.10
chr16	3291027	3291175	ZNF263	0	+	3291027	3291175	0	1	148	0	0.75377180141342	0.0868464571388049	ENSG00000006194.10
chr17	50555753	50555802	SPATA20	0	+	50555753	50555802	0	1	49	0	1.02165124753198	0.0612719512208533	ENSG00000006282.21
chr16	3020656	3020705	TNFRSF12A	0	+	3020656	3020705	0	1	49	0	0.885038188418442	0.0280530846637647	ENSG00000006327.14
chr16	3020753	3020802	TNFRSF12A	0	+	3020753	3020802	0	1	49	0	0.897941593234896	0.0236288801926394	ENSG00000006327.14
chr16	3022042	3022188	TNFRSF12A	0	+	3022042	3022188	0	1	146	0	0.916290731874145	0.000616605998359819	ENSG00000006327.14
