GO	[-8.46 -0.78]	[-0.78 -0.42]	[-0.42 -0.25]	[-0.25 -0.13]	[-0.13 -0.02]	[-0.02 0.12]	[0.12 0.29]	[0.29 0.56]	[0.56 1.02]	[1.02 7.18]
GO_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GO_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	-0.233	-0.641	-0.641	-0.641	1.356	-0.641	-0.641	0.381	1.356	0.803
GO_G_PROTEIN_COUPLED_NUCLEOTIDE_RECEPTOR_ACTIVITY GO_G_PROTEIN_COUPLED_NUCLEOTIDE_RECEPTOR_ACTIVITY	1.419	-0.366	-0.366	-0.366	-0.366	-0.366	-0.366	0.244	-0.366	2.305
GO_MECHANOSENSITIVE_ION_CHANNEL_ACTIVITY GO_MECHANOSENSITIVE_ION_CHANNEL_ACTIVITY	1.048	0.519	-0.504	-0.504	-0.504	-0.504	-0.504	-0.504	0.519	1.737
GO_G_PROTEIN_COUPLED_RECEPTOR_COMPLEX GO_G_PROTEIN_COUPLED_RECEPTOR_COMPLEX	3.755	-0.320	-0.320	-0.320	-0.320	-0.320	-0.320	-0.320	0.282	0.283
GO_STEROID_ESTERIFICATION GO_STEROID_ESTERIFICATION	2.365	-0.550	-0.550	0.467	-0.550	-0.550	0.955	-0.181	-0.550	-0.180
GO_FAT_SOLUBLE_VITAMIN_BIOSYNTHETIC_PROCESS GO_FAT_SOLUBLE_VITAMIN_BIOSYNTHETIC_PROCESS	2.365	0.955	-0.550	-0.181	-0.550	-0.550	0.467	-0.550	-0.550	-0.180
GO_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX GO_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	1.048	0.163	-0.504	-0.504	-0.504	0.163	-0.504	-0.504	0.163	2.568
GO_GLUCOSIDASE_ACTIVITY GO_GLUCOSIDASE_ACTIVITY	1.154	1.894	-0.458	0.578	-0.458	-0.458	-0.458	-0.458	-0.458	0.187
GO_REGULATION_OF_GUANYLATE_CYCLASE_ACTIVITY GO_REGULATION_OF_GUANYLATE_CYCLASE_ACTIVITY	2.897	-0.275	-0.275	0.942	-0.275	-0.275	-0.275	-0.275	-0.275	-0.274
GO_LOOP_OF_HENLE_DEVELOPMENT GO_LOOP_OF_HENLE_DEVELOPMENT	-0.366	0.244	0.244	-0.366	-0.366	-0.366	0.244	-0.366	-0.366	3.373
GO_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX GO_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX	-0.366	3.367	-0.366	0.244	-0.366	-0.366	0.244	0.244	-0.366	-0.365
GO_ATP_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GO_ATP_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	-0.366	-0.366	-0.366	0.244	-0.366	-0.366	0.244	0.244	3.367	-0.365
GO_MESENCHYMAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT GO_MESENCHYMAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	-0.275	1.800	-0.275	-0.275	-0.275	-0.275	-0.275	-0.275	-0.275	1.804
GO_WATER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GO_WATER_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	-0.320	-0.320	0.282	-0.320	-0.320	-0.320	-0.320	-0.320	0.825	2.570
GO_POSITIVE_REGULATION_OF_CELL_FATE_COMMITMENT GO_POSITIVE_REGULATION_OF_CELL_FATE_COMMITMENT	-0.320	-0.320	-0.320	0.282	-0.320	-0.320	-0.320	0.825	-0.320	2.570
GO_INTERLEUKIN_18_PRODUCTION GO_INTERLEUKIN_18_PRODUCTION	-0.320	2.565	-0.320	-0.320	-0.320	-0.320	0.282	-0.320	-0.320	0.827
GO_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY GO_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY	0.282	-0.320	-0.320	-0.320	-0.320	-0.320	-0.320	-0.320	2.565	0.827
GO_VARICOSITY GO_VARICOSITY	2.565	-0.320	-0.320	-0.320	-0.320	-0.320	-0.320	0.825	-0.320	0.283
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_DISULFIDE_AS_ACCEPTOR GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS_DISULFIDE_AS_ACCEPTOR	-0.320	-0.320	-0.320	0.282	-0.320	0.825	-0.320	-0.320	2.565	-0.319
GO_NEGATIVE_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY GO_NEGATIVE_REGULATION_OF_SERINE_TYPE_PEPTIDASE_ACTIVITY	-0.183	-0.183	-0.183	-0.183	-0.183	-0.183	-0.183	-0.183	-0.183	4.007
GO_RENAL_RESPONSE_TO_BLOOD_FLOW_INVOLVED_IN_CIRCULATORY_RENIN_ANGIOTENSIN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE GO_RENAL_RESPONSE_TO_BLOOD_FLOW_INVOLVED_IN_CIRCULATORY_RENIN_ANGIOTENSIN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	-0.183	-0.183	-0.183	-0.183	-0.183	-0.183	-0.183	-0.183	-0.183	4.007
GO_TRAIL_BINDING GO_TRAIL_BINDING	-0.229	-0.229	0.388	-0.229	-0.229	-0.229	-0.229	-0.229	3.338	-0.228
