0	S0008_IN	S0008_RIP	S0009_IN	S0009_RIP	S0014_IN	S0014_RIP	S0017_IN	S0017_RIP	S0025_IN	S0025_RIP	S0026_IN	S0026_RIP	S0030_IN	S0030_RIP	S0042_IN	S0042_RIP	S0057_IN	S0057_RIP	S0085_IN	S0085_RIP	COV00075_IN	COV00075_RIP	COV00079_IN	COV00079_RIP	COV00084_IN	COV00084_RIP	COV00087_IN	COV00087_RIP	COV00093_IN	COV00093_RIP	COV00106_IN	COV00106_RIP	COV00397_IN	COV00397_RIP	COV00413_IN	COV00413_RIP	COV00417_IN	COV00417_RIP	COV00419_IN	COV00419_RIP	COV00422_IN	COV00422_RIP	COV00432_IN	COV00432_RIP
win.22	111	3	31	6	799	44	145	9	4	14	65	257	27	367	6	8	19	3	695	878	727	1119	1	14	219	514	3	4	933	610	2384	261	669	603	5005	371	4	67	781	113	99	451	3879	230
win.23	107	3	28	6	777	34	150	9	4	14	59	278	33	365	6	8	19	3	550	1229	703	1301	1	14	230	528	2	4	941	687	2433	263	685	608	4455	372	6	67	754	117	107	600	3952	239
win.24	122	3	22	6	811	30	148	9	8	14	70	347	38	365	5	8	19	3	562	1516	771	1358	1	14	258	530	3	3	1120	739	2811	279	749	583	5548	374	6	67	868	117	130	574	4293	287
win.25	154	3	24	6	887	36	160	9	8	14	82	352	43	460	5	8	19	3	634	1702	766	1391	1	14	263	542	5	5	1100	715	2797	278	719	598	5317	378	6	70	830	117	120	521	4166	259
win.26	141	3	24	6	873	47	160	9	8	14	80	288	41	496	5	8	19	3	624	1539	933	1746	2	14	270	542	4	5	1307	889	3047	308	804	643	5054	369	6	70	837	129	138	725	4540	288
win.27	150	3	25	6	823	48	161	9	8	15	72	264	39	495	5	8	19	4	612	1512	849	1687	2	14	235	542	3	5	1080	826	2461	362	662	602	2832	364	7	70	566	122	115	740	3919	281
win.28	135	3	23	6	671	46	165	9	10	15	51	431	36	494	5	12	19	5	506	1184	901	1426	1	15	233	569	8	3	1084	763	2426	377	664	551	3237	395	7	72	629	125	112	730	3943	277
win.29	111	3	23	6	559	46	176	9	10	15	37	433	26	460	5	12	19	5	442	973	867	1071	1	15	244	599	8	4	1057	651	2654	379	672	573	3591	401	14	74	729	119	120	628	4035	189
win.30	130	4	38	6	906	52	176	9	10	15	80	309	30	504	5	11	19	4	645	1250	837	949	2	15	235	599	9	4	1122	646	2906	297	709	590	3907	398	13	74	793	119	118	601	4169	190
win.31	200	4	47	6	1212	54	193	9	11	16	121	327	35	509	7	11	19	4	909	1546	1173	1346	3	15	330	599	10	5	1533	722	3711	379	911	585	4825	417	15	78	968	139	172	678	5285	193
win.32	207	4	44	6	1311	44	193	9	12	16	134	313	43	598	7	9	19	4	982	1662	1011	1109	5	15	308	599	6	5	1285	591	2861	360	779	575	4202	411	15	78	797	138	124	524	4244	177
win.33	194	4	42	6	1432	43	198	9	12	16	142	317	50	758	7	9	19	4	1076	2493	1071	1362	5	15	308	634	4	5	1305	615	2932	341	807	593	4645	412	15	81	878	129	123	572	4482	178
win.34	201	4	42	6	1722	46	198	9	12	16	188	392	60	867	7	9	19	4	1183	4529	669	1017	4	16	238	667	5	6	816	529	1987	284	629	587	3678	426	14	81	677	128	64	685	3250	246
win.35	258	4	43	6	2065	53	233	138	16	21	212	477	51	565	11	16	27	4	1238	5981	655	1134	3	16	231	639	10	8	780	646	2010	341	640	596	3741	461	15	91	663	167	69	828	3236	278
win.36	256	4	61	8	1986	52	234	138	16	21	212	487	53	565	11	16	28	4	1273	4765	606	1050	3	16	216	639	8	6	778	594	1923	360	616	608	3670	465	15	92	629	168	77	730	3158	307
win.37	279	4	69	8	2586	43	235	138	20	21	270	1178	58	650	11	16	28	4	1506	7848	775	1784	2	17	247	682	12	10	995	722	2281	382	736	659	4733	488	16	94	724	177	105	1097	3738	385
win.38	276	4	68	8	2667	43	234	138	19	21	281	1184	70	775	11	16	28	4	1627	7297	852	1805	1	17	263	684	10	11	1080	813	2251	378	793	665	5307	496	18	98	767	170	98	994	3906	380
win.39	257	4	73	9	3151	46	235	138	23	21	324	1176	78	579	11	18	28	4	1883	7123	1030	1778	4	16	306	683	11	11	1317	869	2834	363	953	666	6872	502	19	102	948	174	122	950	4596	359
win.40	232	4	88	9	3073	48	233	138	23	21	267	512	73	455	11	18	28	4	1780	4583	1037	1193	4	15	291	586	11	8	1377	651	2849	377	940	681	7542	518	19	102	1073	166	134	472	4671	266
win.41	396	16	112	9	3971	48	254	138	24	25	371	1317	93	585	13	26	35	4	2360	5023	1112	1236	5	17	335	609	10	9	1523	646	3468	426	1021	727	10160	550	17	124	1354	192	164	468	5346	456
win.42	408	19	115	9	3548	45	260	138	19	25	368	1016	97	585	13	26	35	4	2306	3660	1124	1171	2	22	342	609	11	10	1677	673	3796	385	1166	723	11580	552	21	124	1607	185	163	473	5541	425
win.43	516	19	164	9	5667	45	260	138	22	26	560	1195	133	463	13	26	35	5	3287	5287	1566	1249	5	21	468	609	15	9	2326	833	5229	512	1515	749	15404	587	23	127	2090	207	215	451	7464	570
win.44	486	20	168	9	5898	305	278	138	28	26	604	673	130	685	13	26	35	7	3424	5726	1396	989	5	20	414	609	15	9	1965	813	4321	469	1263	742	11468	603	19	126	1606	206	185	455	6414	449
win.45	573	20	158	9	6124	401	284	138	33	26	616	1006	137	685	13	31	37	7	3569	4981	1310	1037	5	21	400	611	12	10	1790	807	3964	471	1157	745	10310	603	18	126	1451	204	176	466	5962	460
win.46	450	20	100	9	3609	146	286	138	25	26	339	639	100	472	13	31	41	6	2295	3290	681	746	1	22	251	619	11	11	866	625	2088	351	671	666	3210	574	13	127	686	192	88	487	3232	322
win.47	619	20	157	9	5381	412	299	139	32	36	531	727	126	709	13	32	42	6	3613	4078	879	874	1	23	291	619	14	12	1129	626	2543	412	753	719	3629	624	14	133	803	203	117	536	3865	379
win.48	643	20	154	10	5458	413	305	139	30	36	510	680	120	713	13	32	42	6	3572	4139	898	792	2	22	296	627	13	11	1098	612	2468	457	728	736	3429	614	14	137	773	198	129	530	3858	347
win.49	594	20	128	10	4566	410	310	139	29	36	427	645	102	716	13	44	42	6	2823	2908	713	857	2	23	249	629	9	11	848	530	1886	411	620	746	2830	590	15	141	629	184	91	524	3375	345
win.50	412	20	53	9	2324	58	298	139	14	36	205	467	59	495	13	166	42	6	1583	1213	632	897	2	22	224	639	9	10	729	480	1647	346	567	723	2546	566	14	141	559	177	78	489	3021	297
win.51	453	20	60	8	2463	57	307	139	15	36	217	234	61	980	13	166	42	6	1934	1173	691	1037	2	22	219	645	6	10	766	509	1693	309	573	719	2672	572	14	141	540	177	78	516	3212	299
win.52	452	20	64	8	2869	58	307	139	15	37	252	231	66	980	13	167	42	6	2195	4068	716	1211	2	24	230	654	10	10	820	597	1833	313	594	753	3006	575	14	145	559	177	86	563	3336	300
win.53	356	20	63	8	3169	59	309	139	16	37	278	713	69	1223	13	167	45	6	2304	4854	674	1504	2	24	248	654	10	10	898	692	1851	314	606	798	3698	565	14	145	567	199	80	755	3274	441
win.54	369	20	63	8	3445	361	315	139	18	37	293	1323	80	885	15	167	46	6	1994	9268	744	1897	3	24	249	745	11	10	978	813	2071	422	644	839	4817	580	15	143	673	201	89	929	3655	506
win.55	387	20	71	8	2955	365	317	139	18	37	236	1465	74	1128	16	170	43	6	1779	8470	770	1859	5	22	271	767	7	10	973	817	2167	592	699	864	5677	578	14	145	747	191	91	1113	3883	484
win.56	414	20	91	8	3823	368	322	139	20	37	353	1795	87	1433	16	175	46	6	2320	13316	889	2465	5	24	296	781	7	10	1103	1068	2420	647	801	901	6576	596	16	147	872	197	103	1187	4473	703
win.57	471	28	92	18	4019	490	379	144	20	44	331	2027	85	1580	22	192	61	19	2310	12394	849	2624	6	29	324	1031	9	21	1125	1174	2446	653	882	1040	6879	714	18	198	950	224	101	1393	4727	1164
win.58	431	28	86	18	3772	491	387	144	19	44	319	2102	81	1428	22	315	63	20	2132	11321	811	2383	4	29	294	1019	9	21	1064	1081	2355	631	881	981	5943	708	18	198	891	206	98	1196	4595	1160
win.59	333	28	55	18	1991	308	385	144	16	44	145	716	57	1490	22	315	59	20	1084	1966	667	1402	2	27	247	946	6	21	833	749	1925	600	797	892	4211	694	16	196	729	196	88	773	3731	936
win.60	332	29	63	17	2088	192	394	144	16	44	180	561	65	1370	22	315	57	20	1271	1659	791	1187	3	27	258	924	9	21	938	670	2139	507	816	924	3693	698	15	196	716	190	99	643	3763	719
win.61	393	29	55	17	1958	72	387	144	19	44	161	246	63	1372	22	320	59	20	1301	1651	799	1121	3	27	253	924	9	21	922	660	2008	410	757	915	3293	716	15	196	675	193	96	615	3735	719
win.62	410	28	57	18	2242	69	386	145	25	44	158	246	77	526	22	320	62	20	1597	3752	916	961	3	27	266	957	9	22	1053	607	2313	384	795	882	2885	720	16	196	649	190	105	626	4045	632
win.63	445	28	65	18	2937	69	382	145	26	44	235	319	81	525	22	323	62	20	1931	4048	1131	991	3	27	280	961	6	25	1266	591	2521	412	823	870	3073	725	17	196	671	198	130	598	4537	632
win.64	408	28	81	17	3588	70	385	144	27	45	345	321	105	1381	22	323	57	20	2287	1676	1350	1032	4	30	349	961	9	25	1662	567	3200	411	921	877	3414	745	17	196	770	194	177	605	5351	632
win.65	517	28	86	17	3449	72	391	144	21	45	367	249	113	1377	22	323	57	20	2213	1602	1269	1027	6	30	361	965	11	24	1679	587	3426	412	996	868	3754	738	17	196	882	195	184	609	5455	632
win.66	757	28	122	17	4858	74	395	144	28	45	465	250	140	1372	25	326	60	20	3181	4309	1543	1078	7	30	401	971	15	23	1902	623	3905	416	1073	875	4222	766	19	196	970	195	192	615	6062	763
win.67	881	28	164	18	6434	77	420	150	36	47	594	252	168	526	28	326	62	20	4204	4229	1957	1151	9	30	461	973	17	24	2377	623	4691	421	1234	877	4532	746	18	199	1053	202	233	624	7135	770
win.68	651	28	132	18	5265	79	431	150	33	47	441	295	134	528	25	326	59	20	3364	2039	1520	1035	7	30	423	977	11	23	1976	609	3826	394	1045	891	3710	723	18	199	858	203	197	615	5881	671
win.69	649	28	125	18	5160	78	427	150	33	47	436	292	137	528	25	326	59	20	3248	1842	1374	1014	5	30	420	977	13	23	1833	612	3596	391	986	892	3533	726	17	199	820	202	185	614	5505	674
win.70	683	28	112	17	4851	87	427	150	38	47	341	294	91	530	29	326	59	20	3009	1802	838	829	2	30	323	985	10	22	1144	620	2473	388	735	891	2724	735	18	199	609	192	111	610	3849	676
win.71	671	28	103	17	4790	93	427	150	38	47	329	295	93	529	29	326	59	20	3087	1786	869	833	4	30	313	985	8	25	1235	616	2481	388	754	893	2770	735	16	199	610	194	118	614	3921	676
win.72	598	28	107	17	4507	91	428	150	39	47	290	296	91	528	29	326	59	20	2964	1774	879	850	4	30	317	987	10	25	1257	639	2415	402	758	901	2684	729	18	199	606	187	119	618	3886	678
win.73	377	28	53	17	2355	87	403	150	22	47	142	255	78	528	29	336	59	20	1455	1371	660	840	2	30	281	991	8	24	893	582	1888	441	675	901	2934	733	17	201	574	187	94	619	3426	679
win.74	368	28	58	17	2364	86	413	150	31	47	152	256	79	530	29	336	59	20	1449	1374	718	841	3	30	306	993	9	24	993	601	2086	441	828	932	5250	736	19	201	761	187	105	621	4690	680
win.75	498	29	62	17	2837	90	423	150	33	47	150	259	81	530	29	336	60	21	1686	1391	730	889	3	32	292	1049	9	24	967	612	2181	446	1004	1000	6304	764	24	214	872	203	99	640	5736	692
win.76	477	29	56	17	2643	90	425	150	30	47	151	261	87	596	29	336	60	21	1677	1399	721	895	3	32	270	1052	10	24	959	622	2071	407	1029	1000	5935	763	22	219	848	208	96	678	5834	693
win.77	544	30	59	17	2928	89	427	150	32	47	179	260	93	597	29	336	60	21	1793	1437	843	913	4	34	313	1052	8	24	1102	629	2382	446	1162	999	7076	794	25	222	1022	212	120	680	6454	696
win.78	381	32	48	17	2166	90	454	150	25	71	174	1142	82	599	39	344	64	23	1356	1436	821	980	3	34	297	1062	7	25	1054	630	2163	449	1145	1031	7340	820	25	224	980	208	115	644	6345	718
win.79	332	31	42	17	1589	87	442	150	23	71	115	1323	68	599	41	344	64	23	1003	1441	682	1047	2	34	257	1080	7	25	875	627	1746	411	920	1031	5452	801	24	225	729	206	94	747	4641	724
win.80	316	30	38	17	1279	86	445	150	29	71	87	1375	61	599	41	342	64	24	850	1918	738	1267	3	35	292	1082	7	28	975	755	1892	416	877	1004	4994	811	22	227	709	208	94	775	3781	920
win.81	293	30	34	17	1201	86	438	150	28	71	72	1875	58	625	41	342	64	24	759	2443	899	1601	3	35	340	1082	9	28	1242	842	2436	509	1070	1064	7560	852	26	227	927	224	138	817	4724	1124
win.82	298	30	32	18	1178	86	454	150	28	71	76	1690	59	650	41	342	66	24	788	2279	908	1673	3	35	366	1083	8	32	1303	785	2613	534	1131	1042	8091	877	30	224	1037	234	141	879	5244	1181
win.83	309	30	41	19	1217	85	450	150	24	71	87	2222	63	857	41	343	66	25	805	2336	964	1836	2	35	387	1088	9	36	1387	860	2968	507	1291	1064	9420	889	32	224	1134	250	158	986	5893	1232
win.84	316	30	42	20	1214	89	456	150	22	71	102	1472	65	794	41	343	66	25	935	2140	1044	1982	3	35	398	1088	8	37	1487	912	3053	560	1329	1109	9318	886	31	226	1141	245	158	964	5879	1226
win.85	306	30	41	18	1446	92	455	150	23	74	137	1411	70	839	41	343	66	25	1062	1945	1175	1878	3	35	407	1090	8	33	1579	925	3160	548	1312	1111	9166	883	31	226	1107	232	159	889	5900	1207
win.86	314	30	49	17	1752	88	469	150	24	74	149	829	72	558	46	342	66	25	1327	2567	879	1205	2	35	321	1092	7	29	1133	664	2281	480	928	1017	4322	819	28	226	721	219	115	733	4139	870
win.87	360	30	50	17	1984	206	469	150	23	74	185	830	86	677	46	342	66	25	1411	2711	911	1344	3	35	325	1092	7	31	1190	668	2447	466	938	1027	4353	819	28	229	749	220	120	737	4415	859
win.88	400	30	72	17	2287	207	469	150	24	74	230	985	93	1125	47	342	66	25	1674	4001	971	1479	4	35	346	1092	9	32	1281	691	2649	471	985	1046	4898	809	28	229	807	234	133	800	4629	909
win.89	399	30	62	17	2161	217	477	151	25	74	217	689	80	1126	47	344	66	25	1602	3871	876	1494	5	38	331	1106	9	32	1157	697	2452	467	927	1070	4549	810	28	229	774	235	117	813	4274	921
win.90	412	30	77	17	2583	218	483	151	25	74	231	1375	88	1048	47	346	66	27	1802	3842	934	1466	6	38	319	1113	9	32	1200	731	2529	580	939	1068	4570	813	28	233	792	238	124	807	4340	933
win.91	403	30	61	18	2265	212	500	157	24	76	195	1336	88	587	47	346	68	27	1659	5153	809	1427	5	38	309	1117	7	32	1073	726	2232	652	854	1083	4039	807	27	240	728	222	113	767	4056	866
win.92	424	30	58	18	2228	89	502	157	24	76	196	1000	90	706	47	347	70	27	1560	5097	812	1355	5	38	318	1121	7	32	1066	736	2308	705	850	1103	4135	807	27	240	736	222	122	789	4135	921
win.93	374	30	54	23	2051	88	506	157	24	76	153	883	81	741	47	347	70	27	1425	3481	677	1395	4	38	296	1133	7	29	884	747	2024	724	785	1081	4004	812	27	240	674	222	99	805	3671	917
win.94	398	30	59	23	1960	89	535	157	37	76	165	953	104	689	50	415	70	27	1380	2448	697	1359	3	40	284	1134	8	32	868	756	2012	664	781	1075	3815	882	27	240	683	223	97	792	3651	917
win.95	436	30	62	21	2115	90	544	157	39	76	184	889	109	689	65	460	78	27	1497	2021	730	1371	3	40	325	1135	9	32	968	751	2091	752	798	1079	3893	886	27	240	696	224	102	821	3732	918
win.96	425	30	53	20	2000	93	538	157	38	76	163	667	112	635	65	460	81	27	1300	2032	701	1102	3	40	310	1141	10	32	911	713	1961	678	775	1070	3443	886	28	240	664	226	100	825	3511	912
win.97	438	30	50	20	2193	92	551	157	38	76	149	284	106	493	65	458	82	27	1358	2038	677	1009	3	40	294	1143	12	30	900	697	1926	593	771	1072	3347	886	28	240	655	226	91	1027	3494	856
win.98	419	30	60	20	2301	94	541	157	41	76	184	811	103	494	65	458	82	27	1508	1551	675	987	3	40	279	1146	12	30	875	694	1791	474	759	1063	3234	886	28	240	640	226	89	960	3489	856
win.99	458	30	78	20	2774	94	542	157	43	76	232	811	104	500	65	458	79	27	1839	1554	779	1022	3	40	302	1146	13	30	991	695	2053	556	789	1063	3569	886	29	240	675	226	100	966	3855	858
win.100	524	30	76	21	3186	94	544	157	41	76	253	1182	114	634	65	458	81	27	2062	2005	765	1039	3	40	315	1155	11	29	994	689	2036	557	794	1070	4027	890	30	240	694	226	101	967	3821	868
win.101	591	30	79	22	3783	96	543	157	34	76	292	815	123	635	65	458	81	27	2235	2005	784	1030	3	40	321	1157	8	30	1118	701	2170	557	851	1071	4728	891	30	240	762	226	115	972	3999	908
win.102	538	30	76	22	3244	97	546	157	34	76	261	539	117	560	65	460	82	27	1976	2680	738	1039	3	40	310	1184	8	30	1042	710	2105	477	848	1087	4741	902	30	240	752	230	107	973	3908	918
win.103	697	30	105	22	4545	96	549	157	37	76	406	1673	137	633	65	460	82	27	2833	2719	881	1158	3	40	331	1185	13	30	1262	720	2494	477	971	1087	5747	905	30	244	870	230	130	974	4402	919
win.104	577	30	84	22	3712	97	549	157	37	76	337	1461	125	632	70	460	82	27	2402	2710	805	1216	3	40	306	1188	14	29	1093	740	2207	486	896	1092	5061	906	32	244	784	239	115	997	4132	920
win.105	556	30	94	22	4238	98	556	157	42	76	347	2698	132	633	70	460	82	27	2552	3130	808	1275	3	40	305	1188	11	29	1088	789	2178	631	898	1102	5054	909	32	244	783	243	113	1037	4123	922
win.106	484	30	80	23	3153	97	556	157	40	76	247	1753	127	623	70	576	82	27	1991	7031	709	1270	3	42	296	1188	11	30	914	829	1958	735	817	1104	4123	913	32	244	729	248	96	1033	3876	885
win.107	520	31	79	23	3404	98	546	157	48	76	253	1204	131	624	70	576	82	27	2183	10151	728	1281	3	42	318	1188	13	30	990	863	2054	767	861	1125	4009	915	31	244	763	238	102	1086	3982	979
win.108	499	31	72	23	3403	98	556	157	51	76	247	354	138	561	69	578	82	27	2094	7571	732	1203	3	42	309	1188	12	30	984	813	2111	630	840	1127	3671	914	32	248	736	253	105	1093	3872	998
win.109	684	33	107	22	5117	100	574	157	52	77	420	1352	166	628	69	583	85	27	3148	8963	866	1386	4	42	352	1224	12	29	1267	898	2627	780	969	1139	4386	937	32	253	879	303	119	1147	4519	1147
win.110	691	32	98	22	4522	100	573	157	48	80	376	1328	150	629	69	583	85	27	2711	8018	791	1280	4	42	334	1224	9	29	1156	869	2429	771	926	1154	4378	936	33	253	846	298	111	1091	4237	1047
win.111	629	32	94	23	3856	100	576	158	41	80	323	330	139	571	69	583	88	27	2422	5151	815	1221	3	42	329	1229	9	29	1142	820	2361	499	910	1160	4269	936	33	253	808	292	109	1034	4213	1049
win.112	568	32	103	23	3623	101	583	158	47	80	302	450	135	570	69	583	88	27	2381	4357	888	1163	4	44	339	1238	11	30	1172	820	2383	511	934	1155	4464	941	36	255	822	265	114	1029	4283	970
win.113	552	32	91	23	3533	101	582	158	47	80	282	404	135	569	69	583	88	27	2329	4323	917	1167	4	44	348	1243	13	30	1174	804	2337	510	920	1146	4232	943	36	255	801	256	117	1003	4249	1018
win.114	428	32	49	23	2185	102	573	158	35	80	194	842	116	578	69	583	88	27	1430	2826	913	1081	4	44	333	1249	16	29	1079	812	2159	511	898	1175	4221	968	38	265	791	291	112	1052	4131	1071
win.115	479	32	66	24	2802	103	569	158	39	80	280	770	127	578	69	583	88	27	1850	2571	1010	1081	4	44	351	1250	16	30	1208	820	2403	513	921	1175	4071	981	38	265	776	291	129	1052	4314	1072
win.116	537	32	71	25	3195	105	579	158	42	80	325	362	128	579	69	583	88	26	2115	2578	1042	1146	4	44	377	1256	13	30	1339	818	2695	515	968	1181	4108	986	38	267	803	271	146	1055	4596	1034
win.117	469	32	58	24	2960	109	575	158	44	80	298	289	131	579	69	583	88	26	1921	1972	1016	1224	4	44	365	1256	13	29	1225	824	2577	515	927	1187	3292	985	38	267	680	271	138	1071	4394	1075
win.118	547	32	70	24	3603	386	578	158	45	80	368	287	146	580	69	583	88	26	2431	2679	1203	1275	4	44	379	1256	18	30	1362	856	2807	515	959	1190	3390	984	39	267	717	271	147	1093	4773	1077
win.119	542	32	65	24	3102	383	577	158	42	80	316	287	133	580	69	583	88	26	2086	2839	1144	1230	4	44	368	1256	17	31	1293	863	2715	535	944	1184	3611	987	39	267	731	271	143	1095	4679	1036
win.120	486	32	53	24	2105	379	570	158	35	80	220	450	113	579	69	583	88	26	1428	3285	918	1252	3	44	353	1261	12	31	1057	886	2215	537	925	1195	4471	984	35	269	751	262	123	1102	4143	1041
win.121	436	32	50	23	1965	380	582	158	36	80	205	453	121	582	82	594	88	26	1399	3135	870	1322	3	44	359	1268	14	30	1117	895	2261	557	1024	1213	6716	997	38	269	883	261	135	1087	4370	1064
win.122	456	32	58	23	2626	104	585	158	45	80	282	457	148	583	82	594	88	26	1910	2468	977	1358	3	45	383	1317	15	29	1320	944	2488	546	1125	1239	9073	1017	40	271	1099	281	147	1142	4738	1076
win.123	490	32	65	24	3339	103	612	158	44	80	335	459	148	585	82	594	88	26	2264	2857	961	1236	4	45	383	1323	14	30	1415	979	2714	574	1271	1249	11357	1030	41	271	1332	288	146	1127	5838	1121
win.124	597	35	92	24	4109	102	612	158	45	80	457	489	171	587	82	594	88	26	2918	3318	1085	1217	4	45	434	1338	14	30	1619	991	3059	560	1329	1245	10485	1023	42	271	1386	296	159	1130	6471	1089
win.125	723	35	134	23	5926	103	625	158	44	80	616	435	209	585	82	594	88	27	4007	3413	1302	1335	4	45	489	1338	18	30	2003	1029	3794	568	1642	1251	16234	1065	42	271	1747	325	192	1143	8573	1079
win.126	828	35	138	27	6384	953	618	158	45	80	638	271	219	586	82	596	88	27	4349	2222	1324	1311	6	45	487	1339	16	29	1974	957	3816	539	1585	1254	14443	1061	42	273	1547	340	201	1156	7854	1056
win.127	768	35	122	27	5692	953	617	158	42	84	577	245	197	594	82	602	90	27	3834	2248	1314	1311	6	45	473	1346	16	29	1905	965	3756	582	1536	1296	13306	1061	42	273	1469	338	186	1156	7557	1068
win.128	703	34	102	27	4305	105	599	158	39	84	435	217	167	312	82	602	90	27	2949	2152	1283	1203	5	45	450	1353	15	29	1640	886	3259	573	1245	1289	6043	1005	40	273	983	331	177	1105	6021	997
win.129	863	34	122	27	5022	953	599	158	45	80	412	219	170	310	86	602	90	29	3373	1715	1111	1143	5	45	405	1363	10	29	1357	893	2698	544	1069	1293	4685	1012	36	273	862	308	156	1097	5119	997
