	chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value
ADAR,3121	chr1	154585327	154585834	ADAR	0	-	154585327	154585834	0	2	18,82	0,426	-2.3230636244155	4.43925584621188e-05
110	chr1	154601857	154601906	ADAR	0	-	154601857	154601906	0	1	49	0	-2.08980432870687	0.00119185293772739
111	chr21	45176248	45176297	ADARB1	0	+	45176248	45176297	0	1	49	0	1.20077621130035	0.0043266176984762
112	chr16	75598546	75598595	ADAT1	0	-	75598546	75598595	0	1	49	0	2.80336038116308	0.00264700910830773
113	chr7	140673793	140673842	ADCK2	0	+	140673793	140673842	0	1	49	0	-3.63758615971702	0.000718849611379802
114	chr1	226965295	226965344	ADCK3	0	+	226965295	226965344	0	1	49	0	0.657201281576882	0.00110379498393409
115	chr16	50315898	50315947	ADCY7	0	+	50315898	50315947	0	1	49	0	-1.77384031301494	2.44305977173953e-05
116	chr16	50316445	50316494	ADCY7	0	+	50316445	50316494	0	1	49	0	2.08901099268986	0.00304585626781484
117	chr16	50316842	50316891	ADCY7	0	+	50316842	50316891	0	1	49	0	0.518793793415169	0.00227049181207151
118	chr16	50316942	50316991	ADCY7	0	+	50316942	50316991	0	1	49	0	-1.01828989982928	0.000415640892117985
119	chr16	3966537	3966586	ADCY9	0	-	3966537	3966586	0	1	49	0	5.35894198820345	3.39668876359056e-08
120	chr4	2929082	2929131	ADD1	0	+	2929082	2929131	0	1	49	0	2.56687058763943	1.07058832361506e-05
121	chr4	22387672	22387721	ADGRA3	0	-	22387672	22387721	0	1	49	0	-0.960335597536877	0.000398032610520183
122	chr19	14735980	14736029	ADGRE2	0	-	14735980	14736029	0	1	49	0	1.01327268693549	0.000280861797243847
123	chr16	57575896	57575945	ADGRG5	0	+	57575896	57575945	0	1	49	0	-0.885979090082798	0.00271299431828809
124	chr12	1787788	1787837	ADIPOR2	0	+	1787788	1787837	0	1	49	0	1.79175946922879	0.00366939518058407
125	chr11	10306956	10307005	ADM	0	+	10306956	10307005	0	1	49	0	5.68357976733869	0.000429505832032495
126	chr20	50893146	50893195	ADNP	0	-	50893146	50893195	0	1	49	0	-4.64439089913201	0.00249204226261002
127	chr18	80136655	80136704	ADNP2	0	+	80136655	80136704	0	1	49	0	-4.0073331852231	0.000266885281727913
128	chr18	80137403	80137452	ADNP2	0	+	80137403	80137452	0	1	49	0	1.54941990271007	4.86372547814362e-05
129	chr18	80138201	80138250	ADNP2	0	+	80138201	80138250	0	1	49	0	-4.51085950650748	0.000735900601846362
130	chr18	80138600	80138649	ADNP2	0	+	80138600	80138649	0	1	49	0	1.84231174839082	0.000686148683554877
131	chr18	80138750	80138799	ADNP2	0	+	80138750	80138799	0	1	49	0	0.991928146080511	0.000103891917560106
132	chr10	62805898	62805947	ADO	0	+	62805898	62805947	0	1	49	0	1.0277862360995	0.000298481455390354
133	chr15	72752061	72752110	ADPGK	0	-	72752061	72752110	0	1	49	0	-2.65710084480999	0.000384750909365739
134	chr15	72752457	72752506	ADPGK	0	-	72752457	72752506	0	1	49	0	0.588802409054593	0.00126779948611777
135	chr4	87046883	87046932	AFF1	0	+	87046883	87046932	0	1	49	0	1.7491998548116	0.00285293723913172
136	chr4	87091795	87094929	AFF1	0	+	87091795	87094929	0	2	35,15	0,3120	-5.37989735353109	4.29445999494682e-05
137	chr4	87108225	87108274	AFF1	0	+	87108225	87108274	0	1	49	0	4.65871095291612	3.65829205678514e-05
138	chr4	87115272	87125058	AFF1	0	+	87115272	87125058	0	2	28,22	0,9765	-3.59456876849675	0.00113255175544558
139	chrX	148962802	148962851	AFF2	0	+	148962802	148962851	0	1	49	0	5.08140436498446	0.00128713346431564
140	chr2	99594130	99594179	AFF3	0	-	99594130	99594179	0	1	49	0	5.03043792123744	1.36293217523065e-06
141	chr2	100007349	100007398	AFF3	0	-	100007349	100007398	0	1	49	0	4.70048036563139	2.69496184479578e-07
142	chr16	89995182	89995231	AFG3L1P	0	+	89995182	89995231	0	1	49	0	-1.01702517914319	0.00331035224226261
143	chr16	89995873	89995922	AFG3L1P	0	+	89995873	89995922	0	1	49	0	-4.34380542184432	0.000463061906550988
144	chr17	78206965	78207014	AFMID	0	+	78206965	78207014	0	1	49	0	-3.43398720432412	0.00253876777367878
145	chr10	87009119	87009168	AGAP11	0	+	87009119	87009168	0	1	49	0	1.66139765136475	0.00059300603508905
146	chr10	45825742	45825791	AGAP4	0	-	45825742	45825791	0	1	49	0	-1.65542302567592	6.22450816917252e-05
147	chr10	45826391	45826440	AGAP4	0	-	45826391	45826440	0	1	49	0	0.669430653940836	0.00305474800306582
148	chr10	45826641	45826690	AGAP4	0	-	45826641	45826690	0	1	49	0	2.15262315897343	2.02694436665096e-05
149	chr10	73674572	73674621	AGAP5	0	-	73674572	73674621	0	1	49	0	0.978467976826046	0.00220573223908815
150	chr10	50009213	50009262	AGAP6	0	+	50009213	50009262	0	1	49	0	1.14209740060782	0.00348683591142918
151	chr10	50009411	50009460	AGAP6	0	+	50009411	50009460	0	1	49	0	1.44855163636002	0.00148764380089883
152	chr10	46130451	46130500	AGAP7P	0	+	46130451	46130500	0	1	49	0	1.09141801303409	0.00239529893330137
153	chr10	46131482	46131531	AGAP7P	0	+	46131482	46131531	0	1	49	0	-1.44081519999831	0.000106367872407809
154	chr1	35855702	35855751	AGO4	0	+	35855702	35855751	0	1	49	0	2.25712271891673	0.000258346185108782
155	chr1	35856697	35856746	AGO4	0	+	35856697	35856746	0	1	49	0	4.12713438504509	0.00221615862974278
156	chr9	136673493	136673542	AGPAT2	0	-	136673493	136673542	0	1	49	0	0.936209375151016	0.000299858936885333
157	chr21	43983023	43983072	AGPAT3	0	+	43983023	43983072	0	1	49	0	-5.54322240948274	0.00467570371382553
158	chr1	246855817	246857729	AHCTF1	0	-	246855817	246857729	0	2	11,39	0,1874	5.02388052083691	1.2263396065304e-06
159	chr1	27549072	27549121	AHDC1	0	-	27549072	27549121	0	1	49	0	1.52133064492385	0.00185498374027615
160	chr1	27550215	27550264	AHDC1	0	-	27550215	27550264	0	1	49	0	-1.40917865495348	0.00151065731342692
161	chr1	27551308	27551357	AHDC1	0	-	27551308	27551357	0	1	49	0	-0.947927816817338	0.000485531341253953
162	chr1	27551407	27551456	AHDC1	0	-	27551407	27551456	0	1	49	0	5.77144112312065	5.02735852947467e-09
163	chr11	62518846	62518895	AHNAK	0	-	62518846	62518895	0	1	49	0	1.48160454092658	0.00443475520706549
164	chr11	62520293	62520342	AHNAK	0	-	62520293	62520342	0	1	49	0	0.589262512363052	0.00270733662947364
165	chr11	62520942	62520991	AHNAK	0	-	62520942	62520991	0	1	49	0	2.03776884540881	0.00340775385437742
166	chr11	62523038	62523087	AHNAK	0	-	62523038	62523087	0	1	49	0	-3.76738251560188	0.000355075203700816
167	chr11	62525384	62525433	AHNAK	0	-	62525384	62525433	0	1	49	0	1.46173406872141	0.00068538200913526
168	chr11	62527280	62527329	AHNAK	0	-	62527280	62527329	0	1	49	0	1.22104478822458	0.000194217566148347
169	chr11	62528478	62528527	AHNAK	0	-	62528478	62528527	0	1	49	0	4.56434819147666	0.000477454667075938
170	chr11	62529177	62529226	AHNAK	0	-	62529177	62529226	0	1	49	0	0.783654339512785	0.000171586593502249
AHNAK,14998	chr11	62530375	62530474	AHNAK	0	-	62530375	62530474	0	1	99	0	-3.8177123239682	1.92933573546814e-05
171	chr11	62530824	62530873	AHNAK	0	-	62530824	62530873	0	1	49	0	4.29728540856753	2.47882521609011e-06
172	chr11	62535046	62535095	AHNAK	0	-	62535046	62535095	0	1	49	0	4.83628190679045	1.48003498123828e-07
173	chr5	434418	434467	AHRR	0	+	434418	434467	0	1	49	0	-1.21473265095012	0.00192327236709244
174	chr14	77469173	77469222	AHSA1	0	+	77469173	77469222	0	1	49	0	2.03857885622755	7.04158752673489e-06
AIM1,125	chr6	106511955	106512054	AIM1	0	+	106511955	106512054	0	1	99	0	5.43807930892319	3.37081741744729e-08
175	chr17	57106126	57106175	AKAP1	0	+	57106126	57106175	0	1	49	0	0.622248886705406	0.00245725654684592
176	chr17	57106523	57106572	AKAP1	0	+	57106523	57106572	0	1	49	0	0.558907823304084	0.0030712745406214
AKAP10,3118	chr17	19958170	19958269	AKAP10	0	-	19958170	19958269	0	1	99	0	-1.93649831487296	1.17064432812596e-06
177	chr15	85743673	85743722	AKAP13	0	+	85743673	85743722	0	1	49	0	0.799253686554494	0.000440546392026398
178	chr9	110136273	110136322	AKAP2	0	+	110136273	110136322	0	1	49	0	2.10334706253149	0.000153373954844938
179	chr9	110136573	110136622	AKAP2	0	+	110136573	110136622	0	1	49	0	0.925453644795671	0.00187133765296998
180	chr9	110136873	110136922	AKAP2	0	+	110136873	110136922	0	1	49	0	-6.05912319557243	0.000487701168801702
181	chr9	110169063	110169112	AKAP2	0	+	110169063	110169112	0	1	49	0	0.580520862957633	0.00104486134554904
182	chr9	110169313	110169362	AKAP2	0	+	110169313	110169362	0	1	49	0	1.9355179912877	0.000187298380176282
183	chr19	15355168	15355217	AKAP8	0	-	15355168	15355217	0	1	49	0	0.819150306763678	0.00189585735665665
184	chr7	92002983	92003032	AKAP9	0	+	92002983	92003032	0	1	49	0	1.23383907587793	0.00456289523462006
185	chr7	92031578	92038441	AKAP9	0	+	92031578	92038441	0	2	27,23	0,6841	5.30081424674663	0.000257834095549025
186	chr9	114347743	114347792	AKNA	0	-	114347743	114347792	0	1	49	0	5.26269018890488	0.000927516005117201
187	chr9	114377271	114377320	AKNA	0	-	114377271	114377320	0	1	49	0	-0.578934251733629	0.00130106393283236
188	chr19	49877081	49877130	AKT1S1	0	-	49877081	49877130	0	1	49	0	-1.40179854765587	0.00237348079707966
189	chr19	40233667	40233716	AKT2	0	-	40233667	40233716	0	1	49	0	3.71357206670431	0.0046067258689938
190	chr19	40233817	40233866	AKT2	0	-	40233817	40233866	0	1	49	0	0.791229364911281	0.0041047115695092
191	chr19	49470506	49470555	ALDH16A1	0	+	49470506	49470555	0	1	49	0	1.29545888769182	0.00147324386753722
192	chr9	38396388	38396437	ALDH1B1	0	+	38396388	38396437	0	1	49	0	5.42053499926293	1.2229202865921e-06
193	chr9	38397675	38397724	ALDH1B1	0	+	38397675	38397724	0	1	49	0	-1.84789665605094	0.00328735091868027
194	chr11	68028188	68028237	ALDH3B1	0	+	68028188	68028237	0	1	49	0	0.794400914265115	0.00346292326703001
195	chr14	74058614	74058663	ALDH6A1	0	-	74058614	74058663	0	1	49	0	4.20469261951566	0.000201116487039576
196	chr12	34026019	34026068	ALG10	0	+	34026019	34026068	0	1	49	0	3.43646552049961	0.00391628831061586
197	chr9	99217870	99217919	ALG2	0	-	99217870	99217919	0	1	49	0	-1.52376535174818	0.00154040570464498
198	chr9	99218119	99218168	ALG2	0	-	99218119	99218168	0	1	49	0	-4.26969744870982	0.000196395808796712
199	chr7	102456812	102456861	ALKBH4	0	-	102456812	102456861	0	1	49	0	4.20469262130183	0.000433012578577196
1100	chr7	102457847	102457896	ALKBH4	0	-	102457847	102457896	0	1	49	0	5.05624580533894	4.68206212689282e-08
1101	chr2	73448613	73448662	ALMS1	0	+	73448613	73448662	0	1	49	0	1.35314215380302	5.16026321440988e-05
1102	chr2	73450010	73450059	ALMS1	0	+	73450010	73450059	0	1	49	0	4.47163879320254	2.66720244368468e-06
1103	chr2	73450210	73450259	ALMS1	0	+	73450210	73450259	0	1	49	0	5.23110861685459	0.000982195248751649
1104	chr2	73452206	73452255	ALMS1	0	+	73452206	73452255	0	1	49	0	1.43456110208973	0.000529603529266232
1105	chr2	73452555	73452604	ALMS1	0	+	73452555	73452604	0	1	49	0	-3.86283275974398	0.00151882125701386
1106	chr2	73453952	73454001	ALMS1	0	+	73453952	73454001	0	1	49	0	-1.45276080349892	0.0023752339987283
1107	chr2	73489983	73490032	ALMS1	0	+	73489983	73490032	0	1	49	0	-1.65750159636814	0.000975211455774838
1108	chr2	73572746	73572795	ALMS1	0	+	73572746	73572795	0	1	49	0	-4.71849887128573	0.0046374596406209
1109	chr2	73599420	73599469	ALMS1	0	+	73599420	73599469	0	1	49	0	0.910021118860788	0.000215062751121931
1110	chr2	201757555	201757604	ALS2	0	-	201757555	201757604	0	1	49	0	0.822830691357991	0.00397878786516637
1111	chr2	201761351	201761400	ALS2	0	-	201761351	201761400	0	1	49	0	-1.74649007083696	0.000127635767611212
1112	chr11	46397655	46397704	AMBRA1	0	-	46397655	46397704	0	1	49	0	3.11863041009979	0.00130553509278941
1113	chrX	64191811	64191860	AMER1	0	-	64191811	64191860	0	1	49	0	1.1937163041609	9.47114264577831e-05
1114	chr2	127863622	127863671	AMMECR1L	0	-	127863622	127863671	0	1	49	0	4.95112116604409	0.0027901237879806
1115	chr2	127864219	127864268	AMMECR1L	0	-	127864219	127864268	0	1	49	0	4.67282883446191	0.0026655479097426
1116	chr2	127864318	127864367	AMMECR1L	0	-	127864318	127864367	0	1	49	0	5.29831736653867	6.03619767503005e-08
1117	chr2	127873870	127873919	AMMECR1L	0	-	127873870	127873919	0	1	49	0	1.35440600775306	0.000486804649611483
AMOTL1,3125	chr11	94870855	94870954	AMOTL1	0	+	94870855	94870954	0	1	99	0	1.0714139594108	1.25243601035953e-05
1118	chr2	111767687	111767736	ANAPC1	0	-	111767687	111767736	0	1	49	0	4.22683374526819	0.00185318902044929
1119	chr2	111769234	111769283	ANAPC1	0	-	111769234	111769283	0	1	49	0	-1.02357710272516	0.00373815489777296
1120	chr14	76788976	76789025	ANGEL1	0	-	76788976	76789025	0	1	49	0	-6.06842558823475	0.00101598990995477
1121	chr5	140496967	140497016	ANKHD1	0	+	140496967	140497016	0	1	49	0	0.876564627874537	0.000567917826107878
1122	chr5	140528327	140528376	ANKHD1	0	+	140528327	140528376	0	1	49	0	-2.30258509299405	0.000137883677382211
1123	chr5	140402014	140402063	ANKHD1-EIF4EBP3	0	+	140402014	140402063	0	1	49	0	0.817850659060902	0.00438850225405862
1124	chr5	140496971	140497020	ANKHD1-EIF4EBP3	0	+	140496971	140497020	0	1	49	0	0.880294366371723	0.000541653804538633
1125	chr5	140528342	140528391	ANKHD1-EIF4EBP3	0	+	140528342	140528391	0	1	49	0	-2.29913085812596	0.000147280210991862
1126	chr7	92307642	92319364	ANKIB1	0	+	92307642	92319364	0	2	15,35	0,11688	5.22035582507832	0.00100151968808992
1127	chr7	92398344	92398393	ANKIB1	0	+	92398344	92398393	0	1	49	0	0.92738141858286	0.000274041926164648
1128	chr19	17283578	17283627	ANKLE1	0	+	17283578	17283627	0	1	49	0	-0.714585079769954	0.00126542331372637
ANKLE2,2266	chr12	132729961	132730060	ANKLE2	0	-	132729961	132730060	0	1	99	0	-1.45404034965228	3.42111009665038e-05
1129	chr12	132754807	132754856	ANKLE2	0	-	132754807	132754856	0	1	49	0	-0.644925036854521	0.00101046691617723
1130	chr5	73565487	73565536	ANKRA2	0	-	73565487	73565536	0	1	49	0	-3.72970144811444	0.00070404834165183
1131	chr16	89268069	89268118	ANKRD11	0	-	89268069	89268118	0	1	49	0	0.670582561428108	0.0035507549384991
1132	chr16	89279585	89279634	ANKRD11	0	-	89279585	89279634	0	1	49	0	-1.24971882611414	0.00143563976987004
1133	chr16	89279734	89279783	ANKRD11	0	-	89279734	89279783	0	1	49	0	1.06011381053522	0.000243888602764253
1134	chr16	89281776	89281825	ANKRD11	0	-	89281776	89281825	0	1	49	0	-1.21672694429105	0.000747554206077195
1135	chr16	89282473	89282522	ANKRD11	0	-	89282473	89282522	0	1	49	0	1.41921117613303	0.000171345749793272
1136	chr18	9255137	9255186	ANKRD12	0	+	9255137	9255186	0	1	49	0	-4.85981240435231	0.00383765826503946
1137	chr4	73223027	73223076	ANKRD17	0	-	73223027	73223076	0	1	49	0	-3.98898404640325	0.000320961224582139
1138	chr9	38616030	38620114	ANKRD18A	0	-	38616030	38620114	0	2	15,35	0,4050	1.33977434548501	0.00154605346592485
1139	chr9	33548629	33548678	ANKRD18B	0	+	33548629	33548678	0	1	49	0	-5.03695260240426	0.000628936497919175
1140	chr19	32597644	32597693	ANKRD27	0	-	32597644	32597693	0	1	49	0	2.06977963076811	0.00065005154596165
1141	chr3	15670073	15670122	ANKRD28	0	-	15670073	15670122	0	1	49	0	0.75247655861755	0.00372820479534097
1142	chr5	10649432	10649481	ANKRD33B	0	+	10649432	10649481	0	1	49	0	1.57169758444558	0.00266941942037213
1143	chr5	10649832	10649881	ANKRD33B	0	+	10649832	10649881	0	1	49	0	-1.08529651269234	0.00100798802224833
ANKRD33B,1572	chr5	10649981	10650080	ANKRD33B	0	+	10649981	10650080	0	1	99	0	0.894454037264982	8.48596722836992e-07
ANKRD33B,1722	chr5	10650131	10650230	ANKRD33B	0	+	10650131	10650230	0	1	99	0	-1.22406659482121	0.00011086748631147
1144	chr5	10651728	10651777	ANKRD33B	0	+	10651728	10651777	0	1	49	0	1.24684228808521	0.00311384342766419
1145	chr5	10652876	10652925	ANKRD33B	0	+	10652876	10652925	0	1	49	0	-0.930653901729578	0.000111160508125208
1146	chr5	10653225	10653274	ANKRD33B	0	+	10653225	10653274	0	1	49	0	-1.68441791429376	0.00271114541958506
1147	chr5	10654373	10654422	ANKRD33B	0	+	10654373	10654422	0	1	49	0	-1.43330832588745	0.00242487926819923
1148	chr5	10655222	10655271	ANKRD33B	0	+	10655222	10655271	0	1	49	0	0.666419531654132	0.00376358565677604
1149	chr5	10657068	10657117	ANKRD33B	0	+	10657068	10657117	0	1	49	0	0.926241062727324	0.000752745313221448
1150	chr11	83194387	83194436	ANKRD42	0	+	83194387	83194436	0	1	49	0	2.02764204632067	0.000898900299144523
1151	chr11	83212931	83212980	ANKRD42	0	+	83212931	83212980	0	1	49	0	0.926241062731131	0.00142269378859716
1152	chr11	94498211	94498260	ANKRD49	0	+	94498211	94498260	0	1	49	0	3.67946023173804	0.000179140840318226
1153	chr4	124671566	124671615	ANKRD50	0	-	124671566	124671615	0	1	49	0	0.929289986417792	0.000160672845917809
1154	chr9	98790170	98790219	ANKS6	0	-	98790170	98790219	0	1	49	0	-0.907158248310882	0.000808220795013748
1155	chr2	219234883	219234932	ANKZF1	0	+	219234883	219234932	0	1	49	0	1.86615775927563	3.9648218295496e-05
1156	chr15	68787799	68787848	ANP32A	0	-	68787799	68787848	0	1	49	0	5.16478597392351	0.00110742072169223
1157	chr4	79906357	79906406	ANTXR2	0	-	79906357	79906406	0	1	49	0	0.763351439233195	0.00119722914863585
1158	chr4	79907205	79907254	ANTXR2	0	-	79907205	79907254	0	1	49	0	-1.35129292221669	2.82157681233963e-05
1159	chr7	150857221	150857270	AOC1	0	+	150857221	150857270	0	1	49	0	-0.690036758145554	0.00214249644014819
1160	chr16	71732851	71732900	AP1G1	0	-	71732851	71732900	0	1	49	0	0.511659602488301	0.00250111087606009
1161	chr14	23563733	23563782	AP1G2	0	-	23563733	23563782	0	1	49	0	4.72738781871235	0.0024208938747291
1162	chr19	49806863	49806912	AP2A1	0	+	49806863	49806912	0	1	49	0	1.83258146372163	0.00105534659957884
1163	chr19	2101285	2101334	AP3D1	0	-	2101285	2101334	0	1	49	0	2.93857385971515	0.000441414440399912
1164	chr10	74123775	74123824	AP3M1	0	-	74123775	74123824	0	1	49	0	5.2257466737132	0.000991780875438275
AP3M2,1909	chr8	42169349	42169447	AP3M2	0	+	42169349	42169447	0	1	98	0	1.0627193656075	7.86911616683409e-06
1165	chr7	100107082	100107131	AP4M1	0	+	100107082	100107131	0	1	49	0	2.65622513323717	0.000790044277794499
1166	chr11	65775047	65775096	AP5B1	0	-	65775047	65775096	0	1	49	0	1.30559812984178	0.000143989107440734
1167	chr11	65777745	65777794	AP5B1	0	-	65777745	65777794	0	1	49	0	0.599067474643263	0.00199262506091202
1168	chr5	112843897	112843946	APC	0	+	112843897	112843946	0	1	49	0	1.67397643357208	0.00146707999773443
1169	chr1	10433942	10434682	APITD1-CORT	0	+	10433942	10434682	0	2	24,26	0,715	5.67675380226827	0.000434950612618556
1170	chr11	130143814	130143863	APLP2	0	+	130143814	130143863	0	1	49	0	-4.57471097849402	0.000128096941502842
1171	chr22	36226802	36226851	APOL2	0	-	36226802	36226851	0	1	49	0	-1.78175938592223	0.0037918979379945
1172	chr14	103590495	103590544	APOPT1	0	+	103590495	103590544	0	1	49	0	4.53259949315325	0.0034090941011462
1173	chr14	74663250	74663299	AREL1	0	-	74663250	74663299	0	1	49	0	5.05624580534831	0.00134673384224571
1174	chr14	49893664	49893713	ARF6	0	+	49893664	49893713	0	1	49	0	-0.86922322103102	0.000312566259952462
1175	chr20	63288691	63288740	ARFGAP1	0	+	63288691	63288740	0	1	49	0	-0.820507999489562	0.00166948467556882
1176	chr8	67299211	67299260	ARFGEF1	0	-	67299211	67299260	0	1	49	0	4.93806460126142	0.000505971182268472
1177	chr11	46678324	46678373	ARHGAP1	0	-	46678324	46678373	0	1	49	0	0.50660938504569	0.00226753273699076
1178	chr10	31908367	31908416	ARHGAP12	0	-	31908367	31908416	0	1	49	0	-1.03880661981855	0.000242115579623392
1179	chr16	24920076	24920125	ARHGAP17	0	-	24920076	24920125	0	1	49	0	-0.702625924514489	0.00357968220578109
1180	chr16	24930846	24930895	ARHGAP17	0	-	24930846	24930895	0	1	49	0	1.55900705880815	0.0031163804060037
1181	chr2	68735028	68735077	ARHGAP25	0	+	68735028	68735077	0	1	49	0	1.08114459562948	8.99926073381074e-05
1182	chr5	143223214	143223263	ARHGAP26	0	+	143223214	143223263	0	1	49	0	5.47227067367148	0.000633110174743434
1183	chr1	161047986	161048035	ARHGAP30	0	-	161047986	161048035	0	1	49	0	4.03424063799137	3.66331935786057e-07
1184	chr1	161049080	161049129	ARHGAP30	0	-	161049080	161049129	0	1	49	0	1.55814461804016	0.00278434242744063
1185	chr19	46919725	46919774	ARHGAP35	0	+	46919725	46919774	0	1	49	0	5.88053298639442	6.38588707690956e-07
1186	chr19	46920274	46920323	ARHGAP35	0	+	46920274	46920323	0	1	49	0	1.75853382150252	0.00258543790723498
1187	chr19	46920873	46920922	ARHGAP35	0	+	46920873	46920922	0	1	49	0	1.62685295403555	0.00311433467667355
1188	chr19	46921272	46921321	ARHGAP35	0	+	46921272	46921321	0	1	49	0	1.30309541726492	0.00332734198662743
1189	chr19	47000583	47000632	ARHGAP35	0	+	47000583	47000632	0	1	49	0	0.702716631576096	0.00360852023162783
1190	chr19	47001182	47001231	ARHGAP35	0	+	47001182	47001231	0	1	49	0	0.844161832728855	0.0036114956646276
1191	chr1	155950865	155950914	ARHGEF2	0	-	155950865	155950914	0	1	49	0	-1.35098435850703	0.00426381563074407
1192	chr7	144188012	144188061	ARHGEF35	0	-	144188012	144188061	0	1	49	0	-4.71402459073915	0.000418631167405703
ARHGEF39,2599	chr9	35661869	35661967	ARHGEF39	0	-	35661869	35661967	0	1	98	0	-1.91404904698633	5.17414350117768e-07
1193	chr7	144363001	144363050	ARHGEF5	0	+	144363001	144363050	0	1	49	0	-5.505331535923	0.000500295996471167
1194	chrX	136745299	136747508	ARHGEF6	0	-	136745299	136747508	0	2	49,1	0,2209	3.92197333628132	0.00319289183582694
1195	chr13	111304987	111305036	ARHGEF7	0	+	111304987	111305036	0	1	49	0	1.56134315858476	0.000160305347544964
1196	chr1	26697179	26697228	ARID1A	0	+	26697179	26697228	0	1	49	0	0.898653590388047	0.000732590540221456
1197	chr1	26779565	26779614	ARID1A	0	+	26779565	26779614	0	1	49	0	-0.974439454912954	0.00270922195107615
1198	chr1	26780414	26780463	ARID1A	0	+	26780414	26780463	0	1	49	0	-0.996495369756128	0.00479364412833771
1199	chr6	156777980	156778029	ARID1B	0	+	156777980	156778029	0	1	49	0	4.01638302075239	0.00270040082289724
1200	chr6	156778629	156778678	ARID1B	0	+	156778629	156778678	0	1	49	0	1.29788340377584	0.000389161096917334
1201	chr12	45852357	45852406	ARID2	0	+	45852357	45852406	0	1	49	0	0.764919006289049	0.000313371090025494
1202	chr14	58365219	58365268	ARID4A	0	+	58365219	58365268	0	1	49	0	3.27714473283115	3.26404602346564e-06
1203	chr1	235181848	235181897	ARID4B	0	-	235181848	235181897	0	1	49	0	5.40267738186292	1.8898975273629e-08
1204	chr1	235182298	235182347	ARID4B	0	-	235182298	235182347	0	1	49	0	4.94875989037817	0.00163304946671761
1205	chr2	96552487	96552536	ARID5A	0	+	96552487	96552536	0	1	49	0	-0.684033193422143	0.000435942522869603
1206	chr10	62092220	62092269	ARID5B	0	+	62092220	62092269	0	1	49	0	4.91020089625474	0.00249872383964778
1207	chr11	30337481	30337530	ARL14EP	0	+	30337481	30337530	0	1	49	0	4.67282883446191	0.0026655479097426
1208	chr2	152735047	152735096	ARL6IP6	0	+	152735047	152735096	0	1	49	0	4.02535169072578	1.14719226343984e-05
1209	chr8	65604451	65604500	ARMC1	0	-	65604451	65604500	0	1	49	0	1.2576769832978	0.000256570532415013
1210	chr17	75129028	75129077	ARMC7	0	+	75129028	75129077	0	1	49	0	-4.70048036563139	0.00293956622845937
1211	chr17	75129869	75129918	ARMC7	0	+	75129869	75129918	0	1	49	0	3.83945231259331	0.00369373276380858
